well,treatmentnr,treatment,t,eggs,juvs
1_E01,6,A_f05,0,82,6
1_E01,6,A_f05,14,NA,11
1_E02,11,A_f10,0,98,9
1_E02,11,A_f10,14,NA,22
1_E03,47,D_f06,0,70,11
1_E03,47,D_f06,14,NA,19
1_E04,42,D_f01,0,118,8
1_E04,42,D_f01,14,NA,17
1_E05,7,A_f06,0,91,11
1_E05,7,A_f06,14,NA,19
1_E06,64,epibras_5nM,0,126,12
1_E06,64,epibras_5nM,14,NA,12
1_E07,51,D_f10,0,101,11
1_E07,51,D_f10,14,NA,16
1_E08,5,A_f04,0,106,12
1_E08,5,A_f04,14,NA,16
1_E09,57,D_f16,0,80,11
1_E09,57,D_f16,14,NA,9
1_E10,21,A_10xdil,0,91,11
1_E10,21,A_10xdil,14,NA,74
1_E11,2,A_f01,0,68,6
1_E11,2,A_f01,14,NA,14
1_E12,30,S_f09,0,114,11
1_E12,30,S_f09,14,NA,52
1A01,50,D_f09,0,145,12
1A01,50,D_f09,14,NA,93
1A02,19,A_f18,0,89,8
1A02,19,A_f18,14,NA,15
1A03,4,A_f03,0,112,18
1A03,4,A_f03,14,NA,21
1A04,8,A_f07,0,93,9
1A04,8,A_f07,14,NA,18
1A05,18,A_f17,0,80,9
1A05,18,A_f17,14,NA,6
1A06,38,S_f17,0,86,9
1A06,38,S_f17,14,NA,7
1A07,4,A_f03,0,119,7
1A07,4,A_f03,14,NA,11
1A08,28,S_f07,0,112,14
1A08,28,S_f07,14,NA,16
1A09,47,D_f06,0,90,9
1A09,47,D_f06,14,NA,12
1A10,31,S_f10,0,113,12
1A10,31,S_f10,14,NA,29
1A11,60,D_f19,0,125,8
1A11,60,D_f19,14,NA,9
1A12,54,D_f13,0,113,5
1A12,54,D_f13,14,NA,12
1B01,15,A_f14,0,107,11
1B01,15,A_f14,14,NA,19
1B02,27,S_f06,0,108,13
1B02,27,S_f06,14,NA,10
1B03,59,D_f18,0,96,7
1B03,59,D_f18,14,NA,7
1B04,45,D_f04,0,105,12
1B04,45,D_f04,14,NA,13
1B05,13,A_f12,0,118,10
1B05,13,A_f12,14,NA,15
1B06,22,S_f01,0,96,5
1B06,22,S_f01,14,NA,6
1B07,18,A_f17,0,115,16
1B07,18,A_f17,14,NA,15
1B08,24,S_f03,0,132,7
1B08,24,S_f03,14,NA,12
1B09,13,A_f12,0,123,12
1B09,13,A_f12,14,NA,16
1B10,20,A_f19,0,107,10
1B10,20,A_f19,14,NA,14
1B11,56,D_f15,0,113,11
1B11,56,D_f15,14,NA,12
1B12,32,S_f11,0,130,7
1B12,32,S_f11,14,NA,19
1C01,37,S_f16,0,108,10
1C01,37,S_f16,14,NA,14
1C02,62,bras_5nM,0,139,13
1C02,62,bras_5nM,14,NA,28
1C03,3,A_f02,0,80,7
1C03,3,A_f02,14,NA,11
1C04,12,A_f11,0,134,5
1C04,12,A_f11,14,NA,17
1C05,52,D_f11,0,122,6
1C05,52,D_f11,14,NA,24
1C06,9,A_f08,0,122,19
1C06,9,A_f08,14,NA,92
1C07,1,water,0,112,8
1C07,1,water,14,NA,17
1C08,26,S_f05,0,95,4
1C08,26,S_f05,14,NA,10
1C09,7,A_f06,0,101,14
1C09,7,A_f06,14,NA,19
1C10,55,D_f14,0,104,9
1C10,55,D_f14,14,NA,15
1C11,19,A_f18,0,86,8
1C11,19,A_f18,14,NA,9
1C12,23,S_f02,0,127,18
1C12,23,S_f02,14,NA,26
1D01,22,S_f01,0,95,5
1D01,22,S_f01,14,NA,12
1D02,8,A_f07,0,133,16
1D02,8,A_f07,14,NA,20
1D03,23,S_f02,0,100,11
1D03,23,S_f02,14,NA,20
1D04,39,S_f18,0,99,8
1D04,39,S_f18,14,NA,5
1D05,39,S_f18,0,107,10
1D05,39,S_f18,14,NA,10
1D06,10,A_f09,0,103,10
1D06,10,A_f09,14,NA,69
1D07,21,A_10xdil,0,92,9
1D07,21,A_10xdil,14,NA,66
