"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","G1","G10","G11","G12","G13","G14","G15","G17","G18","G19","G2","G21","G22","G23","G4","G5","G6","G7","G8","G9","NP"
"FT0001",61.0070716727664,61.0070134921789,61.0071661810391,40.7318859100342,24.4104175567627,49.6245536804199,132,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0002",61.0070510576453,61.0069888479608,61.0071724946555,55.2045021057129,50.4383239746094,60.0393104553223,45,1,3,2,2,3,3,2,3,2,3,3,1,0,1,2,2,1,1,2,2,4
"FT0003",66.018300499706,66.0039190791778,66.0184729281548,36.9510879516602,24.0708045959473,49.0153656005859,202,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
"FT0004",68.9815770549965,68.9814792742595,68.9816911551245,35.0402755737305,24.0708045959473,41.4605560302734,131,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5
"FT0005",68.9931250004758,68.9930726335632,68.993212235867,1139.25756835938,1133.34533691406,1142.75994140625,55,1,4,4,0,4,1,3,3,3,3,2,3,2,4,3,1,0,4,5,3,2
"FT0006",69.5145839431414,69.5144742109434,69.5146777537121,51.2338104248047,48.1584129333496,56.4553527832031,54,0,2,2,2,4,1,2,3,3,3,3,2,2,4,1,3,1,4,3,4,4
"FT0007",72.0801285694696,72.0800433638435,72.0801670512948,46.0313835144043,42.685920715332,46.6488723754883,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"FT0008",73.0641878496666,73.064059108027,73.0643689554867,345.523010253906,340.662933349609,354.394256591797,167,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0009",73.0641927651112,73.0640918142447,73.0643165873035,303.904327392578,300.1875,306.302307128906,85,5,5,5,5,5,3,4,5,4,1,5,1,5,1,5,5,5,3,4,5,4
"FT0010",73.5313943978205,73.5312774442009,73.5315387052571,34.0128211975098,24.0708045959473,41.508716583252,114,5,4,3,5,5,3,4,5,5,5,4,5,4,4,4,4,5,5,5,4,5
"FT0011",74.0958246944848,74.0956918218692,74.0959053332997,1108.86145019531,1102.10034179688,1114.96875,45,2,5,3,2,3,2,2,0,0,2,2,4,0,3,2,2,2,3,3,2,1
"FT0012",75.0254125181331,75.0252903215612,75.025628206911,116.766796112061,111.646575927734,121.573150634766,28,0,1,1,0,1,1,1,2,1,4,1,2,2,2,0,2,0,3,2,0,2
"FT0013",78.5198282657457,78.5197032957299,78.5200095414656,51.6181411743164,48.438304901123,56.229808807373,29,0,1,0,1,0,0,2,2,3,3,2,2,0,2,1,1,0,4,2,1,2
"FT0014",79.0204996098406,79.0204190825398,79.0206098217471,47.926965713501,42.3848724365234,53.2647552490234,88,4,5,3,3,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3
"FT0015",79.0204946946246,79.0204229556526,79.0206381296892,62.2793502807617,57.3170890808105,66.6508636474609,55,3,2,2,2,1,1,3,5,4,4,3,2,4,2,3,3,0,4,4,2,1
"FT0016",81.0691870887011,81.0690210305798,81.0693348154653,670.212158203125,664.218078613281,674.632507324219,81,5,4,3,5,4,4,5,4,3,5,2,4,4,3,5,3,5,3,1,5,4
"FT0017",81.5200829435103,81.5199289032723,81.520261258292,40.9242191314697,24.6841468811035,54.8363952636719,92,5,4,2,5,4,4,5,5,2,4,4,4,4,5,3,5,4,4,4,4,5
