order,name,rank
1,M497.181T7.66,3.041666667
2,M247.044T9.86,5.357142857
3,M483.129T6.45,151.9047619
4,M405.12T8.5,153.6190476
5,M243.069T8.19,225.1071429
6,M557.166T5.91,226.4940476
7,M333.135T7.66,297.6071429
8,M689.172T4.69,443.7738095
9,M349.166T10.17,514.4642857
10,M387.146T8.17,515.6845238
11,M969.403T4.72,586.7559524
12,M527.156T7.38,803.2380952
13,M547.255T10.07,875.9345238
14,M628.871T0.55,876.2559524
15,M533.276T10.02,948.047619
16,M527.121T7.07,948.327381
17,M537.194T4.84,1019.982143
18,M726.876T0.56,1020.196429
19,M309.134T7.81,1090.357143
20,M78.959T1.22,1091.994048
21,M249.113T7.16,1164.065476
22,M479.099T6.78,1234.571429
23,M517.28T10.16,1306.892857
24,M325.075T9.99,1307.244048
