order,name,rank
1,FT1521,1.473214286
2,FT1261,1.678571429
3,FT2196,5.008928571
4,FT0357,10.83035714
5,FT0484,537.8214286
6,FT4751,539.6964286
7,FT5231,1068.464286
8,FT2982,1861.642857
9,FT5445,1862.776786
10,FT0027,2389.776786
11,FT1594,2390.125
12,FT0101,2390.178571
13,FT0645,2390.696429
14,FT6176,2391.089286
15,FT0434,2391.642857
16,FT0570,2391.964286
17,FT0545,2654.4375
18,FT3380,2655.035714
19,FT0082,2655.339286
20,FT2219,2655.616071
21,FT0199,2920
22,FT0856,2920.6875
23,FT3921,3183.071429
24,FT5243,3183.4375
