order,name,rank
1,M525.177T7.95,1.464285714
2,M247.044T9.86,4.69047619
3,M497.181T7.66,4.928571429
4,M445.223T9.83,79.21428571
5,M333.135T7.66,80.57142857
6,M377.273T15.9,152.1547619
7,M243.069T8.19,224.5535714
8,M527.156T7.38,514.3571429
9,M969.403T4.72,657.1904762
10,M323.15T9.35,658.6488095
11,M387.146T8.17,730.6666667
12,M325.075T9.99,873.9821429
13,M726.876T0.56,946.8095238
14,M309.134T7.81,1018.017857
15,M271.155T6.62,1091.011905
16,M547.255T10.07,1091.619048
17,M501.25T10.48,1235.416667
18,M517.28T10.16,1235.52381
19,M347.115T7.37,1306.059524
20,M671.162T4.91,1306.89881
21,M515.229T9.69,1307.077381
22,M727.449T11.86,1378.327381
23,M537.194T4.84,1378.494048
24,M531.296T11.11,1378.952381
