order,name,rank
1,FT1521,1.589285714
2,FT1261,1.598214286
3,FT2196,5.321428571
4,FT0323,8.107142857
5,FT0135,539.0089286
6,FT0484,539.2589286
7,FT0357,539.5267857
8,FT5231,1333.946429
9,FT2982,1599.4375
10,FT0027,1864.446429
11,FT0545,1864.580357
12,FT2219,2126.491071
13,FT6320,2126.633929
14,FT3544,2127.035714
15,FT3380,2393.821429
16,FT0519,2654.401786
17,FT0434,2654.580357
18,FT0570,2655.008929
19,FT5445,2655.633929
20,FT0216,2919.008929
21,FT0645,2919.348214
22,FT1881,2919.633929
23,FT0029,2920.017857
24,FT3553,2920.1875
