order,name,rank
1,FT1261,1.491071429
2,FT1521,1.508928571
3,FT0176,543.4642857
4,FT0648,805.6607143
5,FT4067,807.4642857
6,FT0748,807.7589286
7,FT0281,810.0267857
8,FT4438,1069.491071
9,FT0968,1071.6875
10,FT6444,1072.857143
11,FT0146,1332.705357
12,FT4046,1599.883929
13,FT3785,1603
14,FT2494,1865.080357
15,FT4328,1865.705357
16,FT5688,1866.9375
17,FT4948,1867.910714
18,FT0697,1868.258929
19,FT0214,1868.696429
20,FT0603,1870.142857
21,FT0114,1870.232143
22,FT0027,2130.651786
23,FT0237,2131.544643
24,FT4992,2131.946429
25,FT0086,2132.303571
26,FT0253,2133.339286
27,FT6243,2133.508929
28,FT0272,2134.383929
29,FT4100,2394.410714
30,FT5797,2396.017857
31,FT4301,2396.5625
32,FT0303,2399.366071
33,FT0949,2656.598214
34,FT1199,2658.133929
35,FT0329,2659.508929
36,FT3988,2663.410714
37,FT5691,2921.8125
38,FT4781,2922.098214
39,FT2439,2923.214286
40,FT0229,2923.928571
41,FT4176,2925.214286
42,FT0429,2925.6875
43,FT4000,3185.098214
44,FT1165,3185.410714
45,FT5800,3186.633929
46,FT0969,3186.660714
47,FT5323,3186.741071
48,FT0527,3186.75
49,FT0721,3187.080357
50,FT3064,3187.625
51,FT5529,3188.401786
52,FT4107,3188.919643
53,FT6233,3189.053571
54,FT4552,3450.232143
55,FT0465,3450.330357
56,FT0542,3450.732143
57,FT0922,3450.75
58,FT4867,3450.901786
59,FT3290,3451.276786
60,FT0199,3451.455357
