order,name,rank
1,M571.218T6.26,2.1875
2,M461.139T5.05,4.3125
3,M545.238T6.99,6.660714286
4,M503.338T8.28,6.883928571
5,M385.15T5.37,7.25
6,M474.923T0.47,78.97321429
7,M490.187T8.05,81.21428571
8,M437.091T7.78,229.7589286
9,M265.01T12.12,448.5357143
10,M61.989T8.41,450.375
11,M120.012T4.84,451.25
12,M176.917T2.9,521.1875
13,M245.946T1.52,521.5357143
14,M529.302T13.75,522.0357143
15,M367.103T6.03,522.4196429
16,M193.051T6.07,595.4732143
17,M127.076T5.07,597.0535714
18,M285.062T4.16,668.1160714
19,M291.197T12.95,740.4375
20,M324.182T4,742.375
