order,name,rank
1,M418.136T5.08,5.241071429
2,M527.264T6.9,7.080357143
3,M590.26T6.26,7.196428571
4,M152.057T5.08,8.901785714
5,M483.31T8.63,9.366071429
6,M342.134T5.07,9.982142857
7,M641.78T1.13,10.91964286
8,M265.155T3.04,1056.607143
9,M219.149T3.68,1407.9375
10,M187.155T0.7,1408.491071
11,M344.149T7.21,1410.196429
12,M359.112T7.24,1410.473214
13,M168.102T0.7,1753.741071
14,M648.975T17.68,1755.285714
15,M354.155T5.95,1756.946429
16,M557.86T0.51,1757.098214
17,M429.3T6.22,2105.383929
18,M560.378T14.63,2450.5
19,M492.202T8.06,2450.928571
20,M868.504T5.53,2452.053571
21,M660.466T18.92,2453.767857
22,M363.141T5.38,2456.991071
23,M121.065T0.7,2800.392857
24,M445.134T5.16,2801.946429
25,M744.049T18.77,2806.071429
26,M621.11T19.44,2806.348214
27,M543.803T1.12,3148.276786
28,M184.073T0.75,3149.205357
29,M494.148T4.87,3154.035714
30,M694.27T3.87,3154.464286
31,M331.932T0.63,3495.178571
32,M497.911T0.49,3497.410714
33,M151.075T0.7,3497.714286
34,M314.139T6.68,3498.669643
35,M144.081T2.48,3845.401786
36,M265.93T0.47,3846.473214
37,M281.922T1.36,3847.4375
38,M187.155T1.03,3847.5625
39,M307.091T4.47,3847.973214
40,M309.012T4.29,3849.383929
41,M746.529T18.77,4191.080357
42,M540.19T5.06,4192.696429
43,M529.28T10.04,4193.321429
44,M326.196T4,4195.383929
45,M347.85T1.16,4196.285714
46,M323.128T6.25,4196.357143
47,M152.057T0.7,4196.75
48,M660.25T3.11,4539.366071
49,M138.091T0.7,4540.205357
50,M501.675T8.11,4540.625
51,M326.708T4.01,4541.544643
52,M335.941T1.51,4541.839286
53,M269.102T4.26,4542.6875
54,M476.192T5.68,4542.830357
55,M623.439T18.19,4543.383929
56,M177.055T3.17,4543.580357
57,M644.432T19.38,4543.732143
58,M728.498T18.42,4885.866071
59,M263.956T1.5,4886.428571
60,M810.588T18.5,4886.464286
61,M524.159T4.82,4886.973214
62,M295.175T4.88,4886.982143
63,M479.178T8.11,4887.285714
