order,name,rank
1,FT1521,1.473214286
2,FT1261,1.526785714
3,FT0146,547.4732143
4,FT0176,548.2053571
5,FT4067,551.2857143
6,FT0648,808.1875
7,FT4861,813.9017857
8,FT4438,1079.107143
9,FT0027,1081.732143
10,FT0748,1335.821429
11,FT3785,1351.214286
12,FT2494,1606.089286
13,FT2413,1612.160714
14,FT4948,1613.044643
15,FT5900,1617.839286
16,FT4046,1862.758929
17,FT0968,1865.598214
18,FT0859,1869.9375
19,FT0214,1870.5625
20,FT4328,1873.883929
21,FT0114,1875.169643
22,FT3838,1877.794643
23,FT0253,2133.473214
24,FT5688,2135.205357
25,FT6243,2141.348214
26,FT1199,2142.0625
27,FT0450,2142.732143
28,FT4805,2396.375
29,FT5879,2396.375
30,FT4301,2397.660714
31,FT0949,2398.3125
32,FT6444,2399.723214
33,FT0225,2400.267857
34,FT4440,2400.785714
35,FT4781,2402.526786
36,FT6245,2404.892857
37,FT3988,2405.964286
38,FT4074,2657.473214
39,FT2456,2667.785714
40,FT2331,2669.732143
41,FT6233,2670.223214
42,FT4701,2671.357143
43,FT5369,2922.258929
44,FT4669,2923.642857
45,FT4000,2924.151786
46,FT2859,2924.5
47,FT0086,2925.3125
48,FT0329,2925.741071
49,FT0962,2926.714286
50,FT2829,2927.044643
51,FT2614,2927.205357
52,FT0008,2928.464286
53,FT3064,2929.178571
54,FT1162,2929.383929
55,FT0346,2929.535714
56,FT0721,2929.660714
57,FT3266,2930.714286
58,FT1165,2931.464286
59,FT0572,2933.571429
60,FT2439,3187.714286
