RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
0.02,58.9592,59.96647,[M-H]-,FALSE,,,,,,466,[],TRUE,200,410,466,474,600,658,400,418,618,574,852,386,450
1.29,58.96004,59.96732,[M-H]-,FALSE,,,,,,266,[],TRUE,140,180,266,774,280,326,368,144,332,304,146,228,100
13.15,59.0128,60.02007,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: -0.0011 mSigma: Infinity, ",20000,,368,[],TRUE,890,426,246,368,434,464,210,484,360,426,322,344,362
9.46,59.01403,60.02131,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,,556,[],TRUE,506,444,508,494,400,702,556,664,742,466,568,618,558
12.3,59.01403,60.02131,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,,484,[],TRUE,248,538,582,280,484,396,394,296,716,580,496,464,496
6.28,59.01408,60.02136,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,,490,[],TRUE,276,458,872,416,384,496,494,422,634,604,540,410,490
6.82,59.01411,60.02139,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,546,[],TRUE,478,450,594,698,620,360,546,372,586,452,882,544,618
7.44,59.01411,60.02138,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,488,[],TRUE,404,416,364,566,570,458,488,842,758,518,450,522,436
7.95,59.01414,60.02141,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,476,[],TRUE,0,534,476,468,434,684,474,480,514,536,0,426,822
8.3,59.01414,60.02142,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,878,[],TRUE,394,788,1102,864,1036,894,980,966,706,856,948,878,626
19.56,59.01414,60.02142,[M-H]-,FALSE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,440,[],TRUE,358,388,396,490,334,446,714,386,474,428,542,440,508
7,59.01415,60.02142,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,568,[],TRUE,538,440,486,1190,616,562,818,1186,568,390,620,864,446
