RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
14.59,50.015,49.00772,[M+H]+,FALSE,,,,,,492,[],TRUE,0,546,670,458,458,628,492,826,536,702,430,0,454
19.6,50.01504,49.00777,[M+H]+,FALSE,,,,,,0,[],TRUE,374,0,604,0,654,920,0,0,0,0,624,0,0
19.65,51.02275,50.01547,[M+H]+,FALSE,,,,,,0,[],TRUE,0,0,616,778,0,174,0,0,104,630,0,0,0
18.75,51.02278,50.01551,[M+H]+,FALSE,,C4H2,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,586,0,0,0,536,0,708,624,0,0,0,0,608
14.59,51.02279,50.01552,[M+H]+,FALSE,,,,,,628,[],TRUE,558,480,836,628,270,744,0,798,634,682,488,586,822
14.85,51.0228,50.01552,[M+H]+,FALSE,,,,,,0,[],TRUE,0,352,0,0,564,604,716,0,598,0,674,0,0
19.87,51.9398,50.93252,[M+H]+,TRUE,,,,,,828,[],TRUE,626,730,1394,898,1016,1092,764,988,826,828,968,806,790
0.18,53.00201,51.99473,[M+H]+,FALSE,,,,,,604,[],TRUE,836,600,186,0,604,0,634,738,736,772,592,0,780
0.23,53.00208,51.99481,[M+H]+,FALSE,,,,,,448,[],TRUE,700,350,752,836,552,666,296,362,368,446,404,750,448
0.18,53.01329,52.00601,[M+H]+,FALSE,,,,,,626,[],TRUE,304,556,676,440,676,244,646,588,704,730,546,738,626
0.22,53.01331,52.00603,[M+H]+,FALSE,,,,,,404,[],TRUE,204,300,0,550,0,556,598,528,0,708,622,404,0
19.99,53.93678,52.92951,[M+H]+,FALSE,,,,,,458,[],TRUE,770,390,440,376,522,458,412,474,542,392,628,480,452
0.79,53.9389,52.93162,[M+H]+,TRUE,,,,,,892,[],TRUE,784,722,0,0,1126,828,1496,1014,1128,782,892,1332,1026
0.06,53.93891,52.93164,[M+H]+,FALSE,,,,,,1072,[],TRUE,696,1002,838,1072,1210,998,984,1562,1502,1352,1074,1442,1038
0.28,53.93893,52.93165,[M+H]+,TRUE,,,,,,818,[],TRUE,702,794,770,1008,818,88,0,1138,946,1054,948,862,816
0.48,53.93897,52.93169,[M+H]+,FALSE,,,,,,0,[],TRUE,0,0,1106,824,0,0,0,860,1126,804,0,0,978
0.2,54.00839,53.00111,[M+H]+,TRUE,,,,,,1552,[],TRUE,1546,1256,1234,1640,1238,1482,1600,1888,1552,1652,1674,1814,1450
19.82,54.00851,53.00124,[M+H]+,TRUE,,,,,,946,[],TRUE,984,864,910,834,932,1218,876,0,1438,1158,1070,992,946
9.44,54.00855,53.00127,[M+H]+,TRUE,,,,,,1056,[],TRUE,1130,0,1376,1056,1012,1000,926,1098,994,1076,1256,958,1112
0.06,54.00855,53.00127,[M+H]+,FALSE,,,,,,1286,[],TRUE,1002,1100,1426,1354,1042,1096,870,1232,1656,1494,1450,1286,1964
14.52,54.00856,53.00128,[M+H]+,TRUE,,,,,,858,[],TRUE,812,892,856,1022,858,0,902,936,0,906,0,0,1912
4.23,54.00857,53.00129,[M+H]+,TRUE,,,,,,944,[],TRUE,0,878,842,0,860,1526,982,1062,1110,910,1126,1044,944
13.01,54.00859,53.00131,[M+H]+,TRUE,,,,,,1006,[],TRUE,766,1106,0,0,1532,1006,1040,0,962,1018,1194,0,1254
10.78,54.0086,53.00132,[M+H]+,TRUE,,,,,,1020,[],TRUE,998,940,860,0,1046,1118,1020,1096,1002,0,1760,1282,1106
19.81,54.93797,53.93069,[M+H]+,FALSE,,,,,,718,[],TRUE,884,618,490,818,622,540,756,824,560,918,922,644,718
0.06,54.94673,53.93945,[M+H]+,TRUE,,,,,,564,[],TRUE,356,396,408,322,564,572,392,872,788,724,542,832,754
0.25,54.94673,53.93945,[M+H]+,FALSE,,,,,,784,[],TRUE,504,714,562,544,812,710,734,978,976,848,826,848,784
19.27,55.01765,54.01037,[M+H]+,FALSE,,C3H2O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,268,[],TRUE,290,430,392,262,316,102,210,0,268,0,1150,234,306
19.65,55.01767,54.01039,[M+H]+,FALSE,,C3H2O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,234,[],TRUE,204,186,398,1150,244,174,0,0,290,234,434,348,202
14.85,55.01777,108.02099,[M+H+H]2+,FALSE,,,,,,418,[],TRUE,226,290,324,412,514,250,474,780,418,562,480,534,338
4.89,55.05369,108.09282,[M+H+H]2+,FALSE,,,,,,240,[],TRUE,160,286,200,240,230,406,66,332,1066,348,180,564,202
14.84,55.05382,54.04655,[M+H]+,FALSE,,,,,,2200,[],TRUE,1722,2420,2726,2032,1944,2510,2142,2736,2636,2200,2110,1488,2342
19.88,55.05383,108.09311,[M+H+H]2+,FALSE,,,,,,286,[],TRUE,0,264,1216,252,196,286,0,446,632,326,284,498,520
