,RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Boxplot,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,7_1,7_2,7_3,7_4,7_5,8_1,8_2,8_3,8_4,9_1,9_2,9_3,9_4,9_5,10_1,10_2,10_3,10_4,10_5,11_1,11_2,11_3,11_4,11_5,12_1,12_2,12_3,12_4,12_5,13_1,13_2,13_3,13_4,13_5,14_1,14_2,14_3,14_4,14_5,15_1,15_2,15_3,15_4,15_5,17_1,17_2,17_3,17_4,17_5,18_1,18_2,18_3,18_4,18_5,19_1,19_2,19_3,19_4,21_1,21_2,21_3,21_4,21_5,22_1,22_2,22_3,22_4,22_5,23_1,23_2,23_3,23_4,23_5,QC_1,QC_2,QC_3,QC_4
M0001,11.38,311.22254,312.22982,[M-H]-,TRUE,(±)9-HpODE,C18H32O4,7484.716797,7728,10156,16173,11614,8680,8256,5166,2968,780,4696,3141,11634,10495,6755,3374,4287,7614,6671,15015,1985,9687,16525,3147,3676,6185,9576,7658,1521,7792,15163,7949,2477,1763,3790,1584,8223,235,495,0,11504,2524,5518,6863,3455,13536,7765,5662,5014,10031,36174,23388,13930,55279,6518,5019,4778,5465,8327,3402,3372,5961,7485,2949,5990,15016,21345,13801,4709,6980,8697,13227,9825,12001,6142,7096,12146,12468,6033,6718,10022,10069,15449,4991,8327,8114,9624,6744,8262,5861,10062,13869,7153,7457,2648,6187,4366,3896,11646,8142,8142,8142,8142
M0002,11.85,487.34273,488.35,[M-H]-,TRUE,"(1R,2R,4aS,6aS,6bR,10S,12aR,14bS)-1,8,10-trihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",C30H48O5,1629.633924,1313,1500,1900,1815,931,1952,5334,1854,1644,2685,928,1254,2310,563,1625,732,4038,2172,1401,905,6585,6179,1528,2442,2362,1682,969,1364,1573,327,1989,1830,1568,1583,8940,2659,9887,4997,1096,313,787,2912,2621,5443,14665,874,2883,812,4270,206,915,2119,1776,2245,5352,384,1175,1973,0,2255,750,2563,3083,2894,1278,1336,1521,1127,1578,1433,442,2338,548,1056,993,1111,852,3654,1793,1630,0,2516,1089,1084,761,2748,1309,4095,4548,0,2391,1083,1038,1626,8387,1800,1490,336,2264,2264,2264,2264
M0003,6.45,131.07119,132.07847,[M-H]-,TRUE,(S)-(-)-2-Hydroxyisocaproic acid,C6H12O3,776.2521015,2086,1166,1487,1399,729,1518,998,1734,1420,2637,430,660,206,418,305,1485,1294,783,913,1447,939,2115,1196,2697,707,1036,1876,1666,729,1089,1388,1709,2115,475,88,34,297,195,0,410,401,844,413,951,437,209,448,586,0,0,0,0,0,0,49,19,89,230,0,836,1634,1028,997,1154,207,366,0,91,0,2388,1524,1988,1453,1167,282,301,189,422,0,1073,533,1129,851,1727,933,802,1400,1600,104,0,0,0,62,322,254,1155,776,81,846,846,846,846
M0004,11.83,474.26253,475.26981,[M-H]-,TRUE,"1-Hydroxy-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphoethanolamine (NMR)",C23H42NO7P,27838,62978,30220,31969,42298,35138,45767,37079,27217,36869,69522,10490,14816,6775,13723,14767,22937,33468,23840,28118,43201,46307,28139,38392,57799,62926,24951,22833,36955,44332,33673,24099,20766,27413,33519,27882,34219,44384,40017,49391,15175,18842,29682,28801,28300,23515,30188,31858,33086,54045,5468,11481,20195,0,38233,12908,12470,17546,20312,19398,13011,17756,28456,12991,30310,18299,20247,27784,22483,30834,21649,21675,42972,36500,50406,11752,14319,9540,20014,21774,20821,27285,21026,39652,18966,16984,18580,32877,20115,17440,24372,25399,17517,19787,41602,35479,50411,50173,60975,27838,27838,27838,27838
M0005,16.04,271.22778,272.23506,[M-H]-,TRUE,2-hydroxyhexadecanoic acid,C16H32O3,9953.356361,15658,22120,20075,17275,12096,75326,55611,43963,24297,16344,38821,31267,29981,44116,43080,16687,31012,6728,11259,5581,31527,12913,17065,15565,8914,16447,20118,10485,4262,7343,18638,14193,10898,6157,20211,12616,6570,4853,1522,15696,10114,8686,4476,3581,37116,29093,20342,8396,9082,13798,6454,3712,510,0,3951,6595,5424,4930,0,7434,3299,3255,574,524,9727,7221,2630,1114,2093,3882,4027,2930,2665,3043,14078,13592,9953,10348,4340,19024,11918,8580,4332,13564,10240,6964,7952,4366,22765,7757,9722,7649,5529,12677,11426,9870,6998,2867,11208,11208,11208,11208
M0006,3.97,175.06133,176.06861,[M-H]-,TRUE,2-Isopropylmalic acid,C7H12O5,150.3674931,1634,1008,1395,632,472,3706,1473,1788,1167,4049,1561,846,668,900,616,304,481,103,150,227,6501,296,1328,5899,626,1627,2742,6426,3481,1314,243,134,0,274,0,255,488,546,0,64,0,261,0,0,599,841,342,158,409,0,0,0,0,0,0,0,0,0,0,102,16571,0,343,0,1300,0,0,118,867,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,355,980,113,0,0,0,0,0,0,732,732,732,732
M0007,4.25,175.0613,176.06858,[M-H]-,TRUE,2-Isopropylmalic acid,C7H12O5,328.2550664,283,101,0,830,0,400,891,757,444,341,864,1508,1508,2005,897,1771,1227,1223,915,1215,1158,1597,1110,201,928,251,516,0,0,500,0,157,253,0,0,251,0,257,10,684,848,369,644,933,154,252,261,329,202,0,0,0,0,0,979,1006,978,501,1486,0,53,0,0,0,0,0,0,0,0,153,115,384,344,350,826,222,509,1261,1239,0,0,0,0,225,180,0,48,235,466,593,328,508,0,1256,369,121,1108,0,390,390,390,390
M0008,0.73,129.01921,130.02649,[M-H]-,TRUE,2-METHYLMALEATE,C5H6O4,2323.578834,7685,5015,6739,6237,2675,8873,8038,6665,5782,10180,6661,7213,6408,5484,6155,11282,7189,4894,6191,8728,10129,9056,7648,15454,8867,3458,4411,0,3393,2254,5010,2026,598,1328,4909,3719,5432,6045,2298,4166,2811,4681,1122,5553,5623,5250,5645,3318,1883,2136,1596,2988,0,0,0,0,309,0,2303,0,0,0,1893,0,2451,0,527,1014,0,0,0,0,868,0,6170,603,5237,0,0,2324,150,0,4158,1567,0,1440,1632,0,0,0,0,392,1621,1565,0,0,0,706,3038,3038,3038,3038
M0009,1.49,129.01921,130.02649,[M-H]-,TRUE,2-METHYLMALEATE,C5H6O4,3679.532983,6520,6224,6124,7421,2215,9222,7819,6079,7226,6146,6323,5163,5696,4756,5805,11036,4885,4067,5218,7416,8368,11180,11447,13723,8206,902,4000,0,21,538,0,1701,1865,1342,2903,2117,4094,3856,0,4539,3680,5895,2268,8185,4295,6542,2366,1908,977,0,0,3641,0,0,0,288,1525,2852,0,5247,6975,722,3923,200,4093,3463,1327,771,5476,3957,1164,3042,2343,1785,0,3461,13018,3529,4666,0,0,0,0,12726,4690,11358,13829,8474,9951,7527,3501,3760,1446,8754,0,2062,10096,2006,2972,2972,2972,2972
M0010,2.76,137.02439,138.03167,[M-H]-,TRUE,3-HYDROXYBENZOATE,C7H6O3,530.1377359,1946,1218,1270,1020,893,640,842,337,519,530,209,214,212,373,244,738,1869,1248,736,974,1973,908,1330,1029,953,901,1446,1533,1665,786,675,729,1264,509,598,427,466,683,396,801,897,502,517,904,289,695,169,242,249,0,0,0,9,0,494,1214,276,1505,374,1388,572,446,476,840,265,266,220,499,177,778,865,1032,1608,571,87,147,416,332,279,815,691,565,718,0,0,0,0,460,460,517,248,145,20,1591,1836,537,1117,1606,380,380,380,380
