RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Boxplot,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,7_1,7_2,7_3,7_4,7_5,8_1,8_2,8_3,8_4,8_5,9_1,9_2,9_3,9_4,9_5,10_1,10_2,10_3,10_4,10_5,11_1,11_2,11_3,11_4,11_5,12_1,12_2,12_3,12_4,12_5,13_1,13_2,13_3,13_4,13_5,14_1,14_2,14_3,14_4,14_5,15_1,15_2,15_3,15_4,15_5,17_1,17_2,17_3,17_4,17_5,18_1,18_2,18_3,18_4,18_5,19_1,19_2,19_3,19_4,19_5,21_1,21_2,21_3,21_4,21_5,22_1,22_2,22_3,22_4,22_5,23_1,23_2,23_3,23_4,23_5,EP_1,EP_2,EP_3,EP_4,EP_5,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6,QC_7,QC_8,QC_9,QC_10
12.06,331.18957,330.18227,"[M+H]+, [M+H-H2O]+",TRUE,"(6E,10Z,14E)-6,14-dimethyl-3-methylidene-2-oxo-3a,4,5,8,9,12,13,15a-octahydrocyclotetradeca[b]furan-10-carboxylic acid",C20H26O4,704,0,3902,182,7794,11306,7470,0,0,8503,479,359,1156,814,3981,0,2600,4183,3540,0,0,0,527,0,3512,565,3525,1770,3995,0,53,1061,1108,704,186,2718,7499,0,0,424,10312,0,7142,5697,0,0,1650,1481,1566,0,0,2309,1160,466,217,1858,0,2930,6958,1754,3753,535,0,391,0,258,10012,7529,18380,100,415,81,0,331,13886,12442,10537,0,361,300,0,7054,3540,626,15314,57,8349,333,0,15495,11106,66,0,3177,10128,0,6361,6311,5589,5801,8141,535,436,550,479,2673,7416,6399,39,6487,4812,60,0,97,991,76
9.84,211.16813,210.16085,[M+H]+,TRUE,(E)-2-Octenyl 2-methyl-(E)-2-butenoate,C13H22O2,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,4660,4198,0,0,3547,0,0,3546,0,4855,0,0,781,0,5516,0,0,0,0,0,0,616,0,0,0,0,0,1794,0,0,0,3634,0,0,5151,4379,0,0,3725,0,0,3985,0,0,0,0,0,0,0,0,5323,4333,0,0,5782,0,0,4147,4489,4455,0,0,0,3190,3944,4019,0,3543,0,0,0,0,1876,3034,0,0,0,4042,0,0,3555,0,2818,0,0,0,3201,0,0,3504,3591,0,3663,0,1383,0,0,1842,0
10.05,219.10049,218.09321,[M+H]+,TRUE,(R)-Bitalin A,C13H14O3,799,0,3741,123,6747,3604,11284,0,0,1529,1220,1164,13262,21608,7065,0,4939,5421,4004,3353,2736,0,69,3015,5167,3081,0,376,0,44,674,295,238,648,88,1091,4574,2309,51,770,5735,122,5462,6156,0,2743,0,0,0,216,622,0,65,0,69,348,0,13183,7552,4479,5511,591,578,1802,573,0,572,3448,3712,799,0,2134,52,2630,1473,2065,2468,475,590,2570,1968,560,1002,1925,1546,716,531,719,766,781,1329,749,0,1394,599,73,1945,3945,1526,5761,2144,841,1252,785,1634,4153,3602,3224,775,3559,2947,36,85,159,486,59
8.39,321.18281,320.17553,[M+H]+,TRUE,"12alpha-Fluoro-11beta,17beta-dihydroxyandrosta-1,4-dien-3-one",C19H25FO3,3216,15000,4029,1136,3163,3569,3338,0,15467,3411,0,0,3677,3411,3969,15989,3107,3400,3669,11264,0,0,10917,3397,2836,15688,0,3595,0,0,116,3236,3458,1682,1394,2947,3413,0,3037,13414,3643,0,3217,3535,0,0,3334,3604,3998,0,0,3216,3184,1249,1581,3743,0,3252,3675,3114,3033,11669,4723,9492,9788,877,2766,3307,3326,147,14396,0,256,7889,3604,2717,3030,0,7415,9900,0,2806,3078,5291,3215,0,3778,10013,13097,2990,3527,188,0,2893,3088,0,3298,3267,2907,3254,3308,12493,11562,13819,11917,3156,3444,3376,117,3616,2699,74,58,80,985,83
12.26,303.23044,302.22316,[M+H]+,TRUE,17beta-Hydroxy-4-methylandrost-4-en-3-one,C20H30O2,795,0,3650,0,1979,2059,2237,0,0,7133,0,0,1324,4504,8688,0,21354,12064,2176,0,10091,545,0,1595,4331,0,928,857,932,308,0,762,822,0,484,1766,6829,135,0,0,6354,0,7588,4764,0,0,866,1113,942,329,0,969,863,0,431,795,0,2764,6804,7668,12998,0,0,0,0,505,21316,55366,9244,38,0,0,71,0,5974,16690,35419,0,0,0,0,7714,4248,0,18502,59,5054,0,0,7659,4729,0,0,3984,6867,0,4007,6535,2641,2716,5603,0,0,0,0,2232,7440,6852,0,7120,5253,48,0,0,798,0
0.99,156.13591,155.12864,[M+H]+,TRUE,"2,2,6,6-Tetramethyl-4-piperidinone",C9H17NO,1842,8821,1228,5034,1543,9910,18158,0,7560,6558,119,0,13332,39888,22551,0,11436,3506,700,6105,5290,1301,11768,2484,3910,0,2609,5953,1347,2753,0,472,2348,0,89,901,9368,0,0,0,19838,79,18846,17902,150,0,3692,2842,5798,0,1336,19886,1944,7265,1842,3697,0,15068,17617,10437,5764,0,515,12360,0,0,0,5940,13773,0,74,123,920,0,2473,8775,1570,0,42,0,54,6441,2460,0,13328,0,6353,160,52,8726,10194,0,0,1873,2463,64,13903,11610,131,0,17670,3164,8455,8200,0,5506,1328,973,0,6108,4261,0,132,112,1307,79
18.39,250.11893,249.11165,[M+H]+,TRUE,"2,4,6-Tris(allyloxy)-1,3,5-triazine",C12H15N3O3,995,865,1582,0,1125,2387,2876,0,1918,541,0,42,681,926,4128,1011,891,500,414,1014,776,0,964,1578,1187,0,1806,1263,1514,0,44,2241,1459,0,69,2397,1208,1612,0,0,995,0,1475,2406,2819,3679,2625,1606,2035,1384,1159,1375,2366,2375,0,4489,0,2538,1978,2841,1222,0,0,0,0,0,0,1610,2432,64,0,0,0,0,484,0,1024,0,62,34,0,873,3386,0,1441,121,4207,110,80,1610,4076,0,0,932,1017,0,1175,917,2142,3127,5216,648,628,0,0,634,1203,1234,51,1360,1749,5048,4413,2309,2504,5825
10.65,141.1247,140.11742,[M+H]+,TRUE,"2,4-Dimethyl-2E,4E-heptadien-1-ol",C9H16O,3567,13891,10851,12292,8459,12620,9496,0,10372,8757,121,0,13122,10291,13252,0,7472,6836,8250,10182,6619,6516,9515,0,9286,0,3233,2444,3200,4385,0,1446,2613,0,0,3348,8268,179,0,0,11498,0,9380,9833,0,0,3111,3385,3713,1589,0,1148,2338,3567,3288,3145,0,9470,9875,7586,7114,0,3968,10580,0,0,0,9226,11376,0,0,293,0,0,8616,10194,11370,0,0,0,267,8912,10336,8922,16437,0,24502,0,27,11268,26587,0,0,13642,15417,0,13484,13102,0,0,10858,4368,5224,5218,5385,4491,9579,8129,0,8203,6640,0,0,0,1348,0
9.75,251.16248,250.1552,[M+H]+,TRUE,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid",C15H22O3,2142,2142,2060,5664,2142,2206,1988,0,1715,2529,154,0,4420,3450,2687,294,2352,2064,2299,3300,2801,615,307,2276,2921,219,3776,3382,249,332,152,3791,3740,88,546,2813,2599,2444,1886,137,2303,0,2458,3473,2451,2165,3208,2230,2551,1539,2496,3927,5249,250,758,4425,0,3449,3636,3028,3666,286,203,0,351,555,155,3229,2364,0,219,391,161,374,2188,6025,3300,0,79,0,2802,2147,3540,0,5133,124,1980,257,317,3055,4346,106,0,3539,3235,0,3342,1999,2680,2354,3434,414,393,333,0,9141,3013,2899,197,3237,2636,193,164,304,706,242
13.32,279.13982,278.13255,[M+H]+,TRUE,"2-[(4-ETHOXYPHENYL)METHYLENE]-3,4-DIHYDRO-1(2H)-NAPHTHALENONE",C19H18O2,0,9330,0,0,0,0,0,0,5087,0,0,0,0,0,0,5163,0,0,0,7664,0,37,4947,87,0,4836,49,125,5818,0,110,79,0,0,62,0,0,0,0,0,58,51,0,0,8163,37,0,0,0,0,101,2832,0,4632,55,0,0,0,86,0,0,0,5372,6464,0,0,3705,0,0,100,0,0,0,5915,0,26,0,0,0,5269,70,0,87,6237,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,6062,6666,4027,3796,0,0,84,138,0,0,0,2301,0,149,100
