IDs,Sample,Company,SolA_concentration_pmol.per.g.FW,selected
SunR1,Sunred,HZPC,5.847861905,no
SunR2,Sunred,HZPC,3.465841837,no
SunR3,Sunred,HZPC,8.304440773,no
SunR4,Sunred,HZPC,12.10963893,no
SunR5,Sunred,HZPC,10.70783273,no
EurR1,Eurostar,HZPC,18.33118147,no
EurR2,Eurostar,HZPC,22.91596563,no
EurR3,Eurostar,HZPC,24.7866217,no
EurR4,Eurostar,HZPC,28.40872571,no
EurR5,Eurostar,HZPC,28.32385714,no
ArsR1,Arsenal,HZPC,48.03307625,no
ArsR2,Arsenal,HZPC,32.55591429,no
ArsR3,Arsenal,HZPC,45.4978698,no
ArsR4,Arsenal,HZPC,33.31904247,no
ArsR5,Arsenal,HZPC,38.3262,no
AltR1,Althea,HZPC,22.80695283,no
AltR2,Althea,HZPC,24.75371399,no
AltR3,Althea,HZPC,35.54741122,no
AltR4,Althea,HZPC,10.88554443,no
AltR5,Althea,HZPC,11.6205,no
MerR1,Merida,HZPC,17.85134726,no
MerR2,Merida,HZPC,21.53095238,no
MerR3,Merida,HZPC,21.10481304,no
MerR4,Merida,HZPC,10.09193878,no
MerR5,Merida,HZPC,18.93339483,no
SpuR1,Spunta,HZPC,25.87722889,no
SpuR2,Spunta,HZPC,36.72329393,no
SpuR3,Spunta,HZPC,11.73866055,no
SpuR4,Spunta,HZPC,30.81977755,no
SpuR5,Spunta,HZPC,9.780010385,no
AlcR1,Alcander,HZPC,12.34140787,no
AlcR2,Alcander,HZPC,11.446875,no
AlcR3,Alcander,HZPC,2.946596939,no
AlcR4,Alcander,HZPC,4.700868132,no
AlcR5,Alcander,HZPC,2.777165325,no
ChaR1,Challenger,HZPC,21.47343439,no
ChaR2,Challenger,HZPC,29.62489655,no
ChaR3,Challenger,HZPC,13.1182284,no
ChaR4,Challenger,HZPC,13.92611901,no
ChaR5,Challenger,HZPC,5.303142279,no
TriR1,Triple ,HZPC,27.82861466,no
TriR2,Triple ,HZPC,12.53654934,no
TriR3,Triple ,HZPC,22.7323588,no
TriR4,Triple ,HZPC,14.15768473,no
TriR5,Triple ,HZPC,28.80674107,no
CamR1,Camel,HZPC,18.36209913,no
CamR2,Camel,HZPC,14.43808722,no
CamR3,Camel,HZPC,15.93110754,no
CamR4,Camel,HZPC,24.63781746,no
CamR5,Camel,HZPC,19.54771506,no
LeoR2,Leonardo,HZPC,63.41497943,no
LeoR3,Leonardo,HZPC,64.38414672,no
LeoR4,Leonardo,HZPC,49.42333709,no
LeoR5,Leonardo,HZPC,77.4095712,no
VR8R1,VR 808,HZPC,41.6031926,no
VR8R2,VR 808,HZPC,16.96592157,no
VR8R3,VR 808,HZPC,46.95616641,no
VR8R4,VR 808,HZPC,38.87546098,no
VR8R5,VR 808,HZPC,56.54158937,no
AllR1,Allison,HZPC,30.33215355,no
AllR2,Allison,HZPC,17.06545526,no
AllR3,Allison,HZPC,17.16696097,no
AllR4,Allison,HZPC,11.31126857,no
AllR5,Allison,HZPC,26.14550549,no
TigR1,Tiger,HZPC,36.06392252,no
TigR2,Tiger,HZPC,27.52529412,no
TigR3,Tiger,HZPC,35.81673761,no
TigR4,Tiger,HZPC,25.6420102,no
TigR5,Tiger,HZPC,15.67295798,no
PanR1,Panamera,HZPC,19.15140994,no
PanR2,Panamera,HZPC,67.78783901,no
PanR3,Panamera,HZPC,55.5773723,no
PanR4,Panamera,HZPC,74.1451422,no
PanR5,Panamera,HZPC,39.43568265,no
Lady anna R1,Lady anna,Meijer Potato,4.828923767,no
Lady anna R2,Lady anna,Meijer Potato,17.48653132,no
Lady anna R3,Lady anna,Meijer Potato,24.9222399,no
Lady anna R4,Lady anna,Meijer Potato,41.69915254,no
Lady anna R5,Lady anna,Meijer Potato,12.55943223,no
Melody R1,Melody,Meijer Potato,54.71466042,no
Melody R2,Melody,Meijer Potato,36.19265562,no
Melody R3,Melody,Meijer Potato,29.15064935,no
Melody R4,Melody,Meijer Potato,51.26048705,no
Melody R5,Melody,Meijer Potato,17.65714286,no
Lady Mar R1,Lady Mar,Meijer Potato,28.70758642,no
Lady Mar R2,Lady Mar,Meijer Potato,50.25641927,no
Lady Mar R3,Lady Mar,Meijer Potato,35.35098824,no
Lady Mar R4,Lady Mar,Meijer Potato,0.286554622,no
Lady Mar R5,Lady Mar,Meijer Potato,15.50644938,no
Lady roseta R2,Lady roseta,Meijer Potato,3.439831482,no
Lady roseta R3,Lady roseta,Meijer Potato,4.871952818,no
Lady roseta R4,Lady roseta,Meijer Potato,1.127786753,no
Lady roseta R5,Lady roseta,Meijer Potato,5.254887218,no
Lady alica R1,Lady alica,Meijer Potato,11.1314396,no
Lady alica R2,Lady alica,Meijer Potato,21.14795406,no
Lady alica R3,Lady alica,Meijer Potato,17.19369655,no
Lady alica R4,Lady alica,Meijer Potato,15.57218689,no
