"order","name","rank","1","2","mz_r","Rt_r","numbername","M_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot"
1,"M497.181_T8",3.392857143,"497.181","8",497.18,8,"14",498.18867,7.66,497.18139,498.18867,"[M-H]-",TRUE,"SolanoeclepinA-like","C27H30O9",788.2766596
2,"M247.044_T10.1",4.857142857,"247.044","10.1",247.04,10,"1754",248.05082,9.5,247.04355,248.05082,"[M-H]-",TRUE,"","C9H12O8",1497
2,"M247.044_T10.1",4.857142857,"247.044","10.1",247.04,10,"2078",248.05081,9.86,247.04353,248.05081,"[M-H]-",TRUE,"","C9H12O8",4250
3,"M483.129_T6",80.83333333,"483.129","6",483.13,6,"995",484.13675,6.45,483.12947,484.13675,"[M-H]-",TRUE,"","C20H24N2O12",955.0650775
4,"M333.135_T8.1",154.7380952,"333.135","8.1",333.14,8,"1731",334.14231,7.99,333.13503,334.14231,"[M-H]-",TRUE,"","C13H22N2O8",1463
4,"M333.135_T8.1",154.7380952,"333.135","8.1",333.14,8,"1852",334.14238,7.66,333.13511,334.14238,"[M-H]-",TRUE,"","C18H22O6",1701
5,"M405.12_T8",297.172619,"405.12","8",405.12,8,"756",406.127,8.5,405.11972,406.127,"[M-H]-",TRUE,"","C15H22N2O11",842
5,"M405.12_T8",297.172619,"405.12","8",405.12,8,"834",406.12713,7.79,405.11986,406.12713,"[M-H]-",TRUE,"","C15H22N2O11",880.7626715
5,"M405.12_T8",297.172619,"405.12","8",405.12,8,"1166",406.12712,7.56,405.11984,406.12712,"[M-H]-",TRUE,"","C15H22N2O11",1041
5,"M405.12_T8",297.172619,"405.12","8",405.12,8,"1212",406.12712,8.03,405.11984,406.12712,"[M-H]-",TRUE,"","C15H22N2O11",1066.265319
6,"M243.069_T8",297.3452381,"243.069","8",243.07,8,"566",244.0763,8.19,243.06902,244.0763,"[M-H]-",TRUE,"","C8H12N4O5",742.0989503
7,"M557.166_T6",370.8035714,"557.166","6",557.17,6,"290",558.17336,5.91,557.16608,558.17336,"[M-H]-",TRUE,"","",527.2136817
8,"M349.166_T10",514.9880952,"349.166","10",349.17,10,"1804",350.17299,10.17,349.16571,350.17299,"[M-H]-",TRUE,"","C19H26O6",1590
9,"M969.403_T5",515.6369048,"969.403","5",969.4,5,"439",970.41076,4.72,969.40349,970.41076,"[M-H]-",TRUE,"","",653
10,"M387.146_T8",588.3571429,"387.146","8",387.15,8,"1397",388.15288,8.41,387.1456,388.15288,"[M-H]-",TRUE,"","C16H24N2O9",1163.574209
10,"M387.146_T8",588.3571429,"387.146","8",387.15,8,"1654",388.15277,8.17,387.1455,388.15277,"[M-H]-",TRUE,"","C16H24N2O9",1361.725335
11,"M689.172_T5",660.077381,"689.172","5",689.17,5,"207",690.1797,4.69,689.17243,690.1797,"[M-H]-",TRUE,"","C32H34O17",393.9538937
12,"M309.134_T8",732.4166667,"309.134","8",309.13,8,"1821",310.14166,7.81,309.13438,310.14166,"[M-H]-",TRUE,"","C11H22N2O8",1628
13,"M527.156_T7",732.4761905,"527.156","7",527.16,7,"1592",528.16331,7.38,527.15603,528.16331,"[M-H]-",TRUE,"","",1305.871085
13,"M527.156_T7",732.4761905,"527.156","7",527.16,7,"2069",528.16328,6.8,527.15601,528.16328,"[M-H]-",TRUE,"","",3939.543311
13,"M527.156_T7",732.4761905,"527.156","7",527.16,7,"2098",528.16325,6.99,527.15597,528.16325,"[M-H]-",TRUE,"","C27H28O11",5188.244878
14,"M547.255_T10",733.5595238,"547.255","10",547.26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"M78.959_T1",878.0416667,"78.959","1",78.96,1,"2075",79.96654,1.22,78.95927,79.96654,"[M-H]-",TRUE,"","",4163
16,"M527.121_T7",947.5178571,"527.121","7",527.12,7,"355",528.12827,7.07,527.121,528.12827,"[M-H]-",TRUE,"","C27H20N4O8",590
17,"M533.276_T10",947.8571429,"533.276","10",533.28,10,"1074",534.28255,9.68,533.27528,534.28255,"[M-H]-",TRUE,"","",993.6553448
17,"M533.276_T10",947.8571429,"533.276","10",533.28,10,"1107",534.28283,10.02,533.27556,534.28283,"[M-H]-",TRUE,"","",1009.15308
17,"M533.276_T10",947.8571429,"533.276","10",533.28,10,"1174",534.28267,10.48,533.27539,534.28267,"[M-H]-",TRUE,"","",1047.654007
17,"M533.276_T10",947.8571429,"533.276","10",533.28,10,"1606",534.28237,10.25,533.2751,534.28237,"[M-H]-",TRUE,"","",1316.385165
18,"M249.113_T7",948.3690476,"249.113","7",249.11,7,"828",250.1206,7.16,249.11332,250.1206,"[M-H]-",TRUE,"","C15H14N4",878.1415615
19,"M726.876_T1",1021.595238,"726.876","1",726.88,1,"538",727.88375,0.56,726.87647,727.88375,"[M-H]-",TRUE,"","",722.1164108
