"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
1,"M525.177T7.95",1,"525.177","7.95",525.18,7.95,7.95,525.17705,526.18433,"[M-H]-",TRUE,"","C28H30O10",2478.367091,"1997",526.18433
2,"M497.181T7.66",2,"497.181","7.66",497.18,7.66,7.66,497.18139,498.18867,"[M-H]-",TRUE,"SolanoeclepinA-like","C27H30O9",788.2766596,"14",498.18867
3,"M569.203T8.56",3.535714286,"569.203","8.56",569.2,8.56,8.56,569.20349,570.21077,"[M-H]-",TRUE,"","C30H34O11",848.1495057,"770",570.21077
4,"M297.117T9.82",8.785714286,"297.117","9.82",297.12,9.82,9.82,297.11673,298.124,"[M-H]-",TRUE,"","C11H22O9",2395.528714,"1986",298.124
5,"M283.101T9.05",154.8571429,"283.101","9.05",283.1,9.05,9.05,283.10109,284.10836,"[M-H]-",TRUE,"","C10H20O9",1054,"1186",284.10836
6,"M315.127T11.25",157.6547619,"315.127","11.25",315.13,11.25,11.25,315.12683,316.13411,"[M-H]-",TRUE,"","C11H24O10",714,"527",316.13411
7,"M265.108T8.53",226.6130952,"265.108","8.53",265.11,8.53,8.53,265.10827,266.11565,"[M-H]-, [M-H-H2O]-",TRUE,"","C14H18O5",3399.851402,"2047",266.11565
8,"M411.111T9.76",302.6011905,"411.111","9.76",411.11,9.76,9.76,411.11139,412.11867,"[M-H]-",TRUE,"","C16H20N4O9",577.2012204,"344",412.11867
9,"M237.077T10.15",307.875,"237.077","10.15",237.08,10.15,10.15,237.07695,238.08423,"[M-H]-",TRUE,"","C12H14O5",2102.252248,"1952",238.08423
10,"M319.119T9.67",445.7916667,"319.119","9.67",319.12,9.67,9.67,319.11922,320.1265,"[M-H]-",TRUE,"","C17H20O6",1164.351895,"1400",320.1265
11,"M281.086T8.67",520.077381,"281.086","8.67",281.09,8.67,8.67,281.08556,282.09284,"[M-H]-",TRUE,"","C10H18O9",1280.777156,"1556",282.09284
12,"M352.148T8.23",592.0595238,"352.148","8.23",352.15,8.23,8.23,352.14807,353.15535,"[M-H]-",TRUE,"","C23H19N3O",962.1974771,"1017",353.15535
13,"M349.13T7.69",593.7321429,"349.13","7.69",349.13,7.69,7.69,349.12967,350.13695,"[M-H]-",TRUE,"","C18H22O7",2312.763322,"1980",350.13695
14,"M307.119T7.06",668.5892857,"307.119","7.06",307.12,7.06,7.06,307.11888,308.12616,"[M-H]-",TRUE,"","C16H20O6",1452,"1723",308.12616
15,"M279.124T5.64",668.7559524,"279.124","5.64",279.12,5.64,5.64,279.12371,280.13098,"[M-H]-",TRUE,"","C15H20O5",273.0756112,"137",280.13098
16,"M299.132T9.25",735.0892857,"299.132","9.25",299.13,9.25,9.25,299.13205,300.13933,"[M-H]-",TRUE,"","C11H24O9",869,"811",300.13933
17,"M313.093T7.71",737.6428571,"313.093","7.71",313.09,7.71,7.71,313.09326,314.10054,"[M-H]-",FALSE,"","C14H18O8",360.8880457,"187",314.10054
18,"M307.155T8.91",740.6190476,"307.155","8.91",307.15,8.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"M331.084T8.25",809.7261905,"331.084","8.25",331.08,8.25,8.25,331.0839,332.09118,"[M-H]-",TRUE,"","C17H16O7",762,"604",332.09118
20,"M367.212T8.73",812.7559524,"367.212","8.73",367.21,8.73,8.73,367.21248,368.21976,"[M-H]-",TRUE,"","C20H32O6",675.8979168,"463",368.21976
