"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
1,"M571.218T6.26",2.1875,"571.218","6.26",571.22,6.26,6.26,571.21815,572.22543,"[M-H]-",TRUE,"","C30H36O11",1158.33451,"359",572.22543
2,"M461.139T5.05",4.3125,"461.139","5.05",461.14,5.05,5.05,461.13865,462.14593,"[M-H]-",TRUE,"","C18H26N2O12",470.631329,"211",462.14593
3,"M545.238T6.99",6.660714286,"545.238","6.99",545.24,6.99,6.99,545.2385,546.24577,"[M-H]-",TRUE,"","C30H34N4O6",922.5915806,"358",546.24577
4,"M503.338T8.28",6.883928571,"503.338","8.28",503.34,8.28,8.28,503.3377,504.34498,"[M-H]-",TRUE,"","C30H48O6",2516,"363",504.34498
5,"M385.15T5.37",7.25,"385.15","5.37",385.15,5.37,5.37,385.15033,386.15761,"[M-H]-",TRUE,"","C18H26O9",1990,"214",386.15761
6,"M474.923T0.47",78.97321429,"474.923","0.47",474.92,0.47,0.47,474.92323,475.93051,"[M-H]-",TRUE,"","",698,"744",475.93051
7,"M490.187T8.05",81.21428571,"490.187","8.05",490.19,8.05,8.05,490.187,491.19428,"[M-H]-",TRUE,"","C23H29N3O9",1426.912651,"308",491.19428
8,"M437.091T7.78",229.7589286,"437.091","7.78",437.09,7.78,7.78,437.09108,438.09835,"[M-H]-",TRUE,"","C16H22O14",1844.310285,"161",438.09835
9,"M265.01T12.12",448.5357143,"265.01","12.12",265.01,12.12,12.12,265.01028,266.01755,"[M-H]-",TRUE,"","C10H6N2O7",1981.280275,"73",266.01755
10,"M61.989T8.41",450.375,"61.989","8.41",61.99,8.41,8.41,61.9887,62.99598,"[M-H]-",FALSE,"","",1778,"961",62.99598
11,"M120.012T4.84",451.25,"120.012","4.84",120.01,4.84,4.84,120.01238,121.01965,"[M-H]-",FALSE,"","C6H3NO2",712,"467",121.01965
12,"M176.917T2.9",521.1875,"176.917","2.9",176.92,2.9,2.9,176.91701,177.92429,"[M-H]-",TRUE,"","",442.9549324,"639",177.92429
13,"M245.946T1.52",521.5357143,"245.946","1.52",245.95,1.52,1.52,245.94611,246.95338,"[M-H]-",TRUE,"","",604.3719518,"710",246.95338
14,"M529.302T13.75",522.0357143,"529.302","13.75",529.3,13.75,13.75,529.30179,530.30906,"[M-H]-",TRUE,"","C27H46O10",1058.513531,"343",530.30906
15,"M367.103T6.03",522.4196429,"367.103","6.03",367.1,6.03,6.03,367.10332,368.1106,"[M-H]-",TRUE,"","C17H20O9",1184.638759,"191",368.1106
16,"M193.051T6.07",595.4732143,"193.051","6.07",193.05,6.07,6.07,193.05071,194.05799,"[M-H]-",TRUE,"ferulic acid","C10H10O4",5775.452502,"33",194.05799
17,"M127.076T5.07",597.0535714,"127.076","5.07",127.08,5.07,5.07,127.07638,128.08366,"[M-H]-",FALSE,"","C7H12O2",1454.374171,"486",128.08366
18,"M285.062T4.16",668.1160714,"285.062","4.16",285.06,4.16,4.16,285.06158,286.06886,"[M-H]-",TRUE,"","C12H14O8",1636.896825,"89",286.06886
19,"M291.197T12.95",740.4375,"291.197","12.95",291.2,12.95,12.95,291.19653,292.20381,"[M-H]-",TRUE,"","C18H28O3",2844.431804,"215",292.20381
20,"M324.182T4",742.375,"324.182","4",324.18,4,4,324.18154,325.18882,"[M-H]-",TRUE,"","C17H27NO5",118.0221261,"197",325.18882
