"order","name","rank","mzmed","mzmin","mzmax","rtmed","npeaks","mz_r","feature"
1,"FT1521",1.473214286,527.189325923553,527.188566426703,527.262509632035,475.029342651367,66,527.19,"1521"
2,"FT1261",1.526785714,499.194352488915,499.193738380926,499.195132032255,459.710159301758,38,499.19,"1261"
3,"FT0146",547.4732143,164.96887142098,164.968613858045,164.96928055147,41.8815460205078,89,164.97,"146"
4,"FT0176",548.2053571,184.168416245067,184.168231931545,184.168554265522,448.586303710938,23,184.17,"176"
5,"FT4067",551.2857143,707.481337955025,707.480531078443,707.493113113146,964.438232421875,18,707.48,"4067"
6,"FT0648",808.1875,358.199965446127,358.199710475356,358.200145213145,557.042541503906,4,358.2,"648"
7,"FT4861",813.9017857,769.859284633431,769.858354371078,769.860824231298,986.032775878906,32,769.86,"4861"
8,"FT4438",1079.107143,736.172209176789,736.170847640713,736.180139600244,971.324829101562,35,736.17,"4438"
9,"FT0027",1081.732143,87.0433325858024,87.0431786541131,87.0434676451058,550.186279296875,103,87.04,"27"
10,"FT0748",1335.821429,396.163654168384,396.163195365221,396.164196118306,387.801177978516,42,396.16,"748"
11,"FT3785",1351.214286,688.144437146914,688.141624267306,688.149367194692,937.675201416016,32,688.14,"3785"
12,"FT2494",1606.089286,600.418097327411,600.412933581655,600.447541059197,948.442993164062,138,600.42,"2494"
13,"FT2413",1612.160714,595.416666886436,595.413053735993,595.424288770187,956.197021484375,32,595.42,"2413"
14,"FT4948",1613.044643,777.540129228067,777.517722444917,777.560350554474,985.059631347656,61,777.54,"4948"
15,"FT5900",1617.839286,896.358708784267,896.357696677633,896.359205568793,277.104064941406,6,896.36,"5900"
16,"FT4046",1862.758929,706.495315302878,706.494578866243,706.49670602017,989.936767578125,101,706.5,"4046"
17,"FT0968",1865.598214,454.271049307387,454.270596908826,454.271637312591,582.571868896484,58,454.27,"968"
18,"FT0859",1869.9375,431.18948483256,431.188856269155,431.189873954365,420.628082275391,5,431.19,"859"
19,"FT0214",1870.5625,206.13750140387,206.137127202175,206.137701431424,285.299591064453,27,206.14,"214"
20,"FT4328",1873.883929,726.537168535532,726.488245043863,726.538922290613,1106.22863769531,21,726.54,"4328"
21,"FT0114",1875.169643,149.116152085446,149.115942987436,149.116320180156,344.269683837891,105,149.12,"114"
22,"FT3838",1877.794643,691.991190493402,691.809603965635,691.993235963033,976.707153320312,165,691.99,"3838"
23,"FT0253",2133.473214,225.194859516603,225.111039402571,225.195197413359,602.459106445312,30,225.19,"253"
24,"FT5688",2135.205357,866.604913835991,866.604028345755,866.605677295876,1049.73217773438,100,866.6,"5688"
25,"FT6243",2141.348214,967.929635155691,967.928793763795,967.930375870263,296.774444580078,25,967.93,"6243"
26,"FT1199",2142.0625,490.304705836068,490.304360567779,490.305151201275,684.789428710938,19,490.3,"1199"
27,"FT0450",2142.732143,293.148298748653,293.147813909495,293.190162471326,292.251266479492,72,293.15,"450"
28,"FT4805",2396.375,765.526728687719,765.525853506322,765.527799653207,961.286071777344,63,765.53,"4805"
29,"FT5879",2396.375,892.624208573399,892.622671366499,892.62795947796,928.642944335938,19,892.62,"5879"
30,"FT4301",2397.660714,724.838956119153,724.838067028204,724.857912557357,1049.32861328125,68,724.84,"4301"
31,"FT0949",2398.3125,452.314933247181,452.284888643562,452.315507550789,816.453308105469,34,452.31,"949"
32,"FT6444",2399.723214,1044.21985372995,1044.21865851938,1044.2215267831,994.746337890625,35,1044.22,"6444"
33,"FT0225",2400.267857,211.167999047177,211.167809966906,211.168259945727,589.721313476562,71,211.17,"225"
34,"FT4440",2400.785714,736.502157954518,736.496790912038,736.503324403747,980.343139648438,13,736.5,"4440"
35,"FT4781",2402.526786,764.030788188939,764.0304634073,764.031589291693,1024.22717285156,15,764.03,"4781"
36,"FT6245",2404.892857,968.430529974069,968.429599110184,968.431584530276,296.232513427734,9,968.43,"6245"
37,"FT3988",2405.964286,702.433181690441,702.432617903882,702.43423984488,648.163330078125,40,702.43,"3988"
38,"FT4074",2657.473214,707.986704645809,707.829040504756,707.987542543342,924.210296630859,78,707.99,"4074"
39,"FT2456",2667.785714,598.404814832842,598.404213023255,598.426971983786,903.017944335938,31,598.4,"2456"
40,"FT2331",2669.732143,590.411702267617,590.381006000986,590.412784816694,915.240631103516,92,590.41,"2331"
41,"FT6233",2670.223214,964.761491360755,964.760740618421,964.762208864935,302.621246337891,14,964.76,"6233"
42,"FT4701",2671.357143,758.201560067006,758.191855993727,758.219255412655,1111.05853271484,110,758.2,"4701"
43,"FT5369",2922.258929,823.56845382793,823.567491879673,823.569306722486,995.287231445312,83,823.57,"5369"
44,"FT4669",2923.642857,754.849067194605,754.848051346638,754.876956702471,988.035675048828,52,754.85,"4669"
45,"FT4000",2924.151786,703.149623208277,703.121390257692,703.16771309602,1106.87884521484,66,703.15,"4000"
46,"FT2859",2924.5,626.941987895007,626.77917571985,626.94259179819,948.716461181641,42,626.94,"2859"
47,"FT0086",2925.3125,131.069281289395,131.069123243022,131.069419631498,540.425415039062,57,131.07,"86"
48,"FT0329",2925.741071,251.147725300828,251.147522155048,251.14806236907,494.48664855957,22,251.15,"329"
49,"FT0962",2926.714286,453.267443382012,453.267024483923,453.267975136635,558.307189941406,77,453.27,"962"
50,"FT2829",2927.044643,624.428773424804,624.420570939997,624.437954326903,925.306701660156,39,624.43,"2829"
51,"FT2614",2927.205357,608.894064705583,608.893298599489,608.894981050883,903.389892578125,33,608.89,"2614"
52,"FT0008",2928.464286,73.0641878496666,73.064059108027,73.0643689554867,345.523010253906,167,73.06,"8"
53,"FT3064",2929.178571,640.451704357101,640.450946955326,640.45268909517,1112.66729736328,80,640.45,"3064"
54,"FT1162",2929.383929,485.211239365083,485.210459624257,485.212038902769,468.770294189453,24,485.21,"1162"
55,"FT0346",2929.535714,256.116616708614,256.116146803033,256.116866545679,261.592422485352,72,256.12,"346"
56,"FT0721",2929.660714,387.222106305897,387.221693788661,387.222527517982,271.998504638672,49,387.22,"721"
57,"FT3266",2930.714286,654.445794785479,654.442942195975,654.4621260507,921.606018066406,156,654.45,"3266"
58,"FT1165",2931.464286,485.341310436626,485.33450436148,485.345240348601,853.582153320312,107,485.34,"1165"
59,"FT0572",2933.571429,335.183724868423,335.183216966226,335.183988980087,559.650177001953,62,335.18,"572"
60,"FT2439",3187.714286,597.401313159222,597.400586006334,597.402073148932,904.102294921875,68,597.4,"2439"
