"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
1,"M418.136T5.08",5.241071429,"418.136","5.08",418.14,5.08,5.08,418.13552,417.12825,"[M+H]+",TRUE,"","C17H23NO11",878.76,"678",417.12825
2,"M527.264T6.9",7.080357143,"527.264","6.9",527.26,6.9,6.9,527.26402,526.25674,"[M+H]+",TRUE,"","C30H38O8",1842.796296,"2069",526.25674
3,"M590.26T6.26",7.196428571,"590.26","6.26",590.26,6.26,6.26,590.25995,589.25267,"[M+H]+",TRUE,"","C25H39N3O13",1337.0305,"1303",589.25267
4,"M152.057T5.08",8.901785714,"152.057","5.08",152.06,5.08,5.08,152.05672,151.04944,"[M+H]+",TRUE,"","",1215.554864,"1091",151.04944
5,"M483.31T8.63",9.366071429,"483.31","8.63",483.31,8.63,8.63,483.3104,482.30312,"[M+H]+",TRUE,"","C30H42O5",779.852552,"584",482.30312
6,"M342.134T5.07",9.982142857,"342.134","5.07",342.13,5.07,5.07,342.13404,341.12676,"[M+H]+",TRUE,"","C19H19NO5",1497.465236,"1547",341.12676
7,"M641.78T1.13",10.91964286,"641.78","1.13",641.78,1.13,1.13,641.78041,640.77314,"[M+H]+",TRUE,"","",3331.739136,"3505",640.77314
8,"M265.155T3.04",1056.607143,"265.155","3.04",265.15,3.04,3.04,265.15467,264.14739,"[M+H]+",TRUE,"","C14H20N2O3",10791.3079,"4910",264.14739
9,"M219.149T3.68",1407.9375,"219.149","3.68",219.15,3.68,3.68,219.14909,218.14181,"[M+H]+",TRUE,"","C13H18N2O",1390.988,"1371",218.14181
10,"M187.155T0.7",1408.491071,"187.155","0.7",187.16,0.7,0.7,187.15513,186.14786,"[M+H]+",TRUE,"","C8H18N4O",7742.71656,"4641",186.14786
11,"M344.149T7.21",1410.196429,"344.149","7.21",344.15,7.21,7.21,344.14916,343.14188,"[M+H]+",TRUE,"","C19H21NO5",6951.541248,"4527",343.14188
12,"M359.112T7.24",1410.473214,"359.112","7.24",359.11,7.24,7.24,359.11229,358.10502,"[M+H]+",TRUE,"","C19H18O7",1281.236224,"1207",358.10502
13,"M168.102T0.7",1753.741071,"168.102","0.7",168.1,0.7,0.7,168.10189,167.09461,"[M+H]+",FALSE,"","C9H13NO2",2304,"2660",167.09461
14,"M648.975T17.68",1755.285714,"648.975","17.68",648.98,17.68,17.68,648.97514,647.96842,"[M+H]+, [M+Na]+",FALSE,"","",2459.5086,"2834",647.96842
15,"M354.155T5.95",1756.946429,"354.155","5.95",354.15,5.95,5.95,354.15461,353.14734,"[M+H]+",TRUE,"","C17H23NO7",358.409216,"329",353.14734
16,"M557.86T0.51",1757.098214,"557.86","0.51",557.86,0.51,0.51,557.86021,1113.70587,"[M+H+H]2+",TRUE,"","",890.688,"692",1113.70587
17,"M429.3T6.22",2105.383929,"429.3","6.22",429.3,6.22,6.22,429.29975,428.29248,"[M+H]+",TRUE,"","C22H40N2O6",804.14912,"608",428.29248
18,"M560.378T14.63",2450.5,"560.378","14.63",560.38,14.63,14.63,560.37845,559.37117,"[M+H]+",TRUE,"","C29H53NO9",6745.740496,"4505",559.37117
19,"M492.202T8.06",2450.928571,"492.202","8.06",492.2,8.06,8.06,492.20157,491.19429,"[M+H]+",TRUE,"","C28H29NO7",4443.27872,"3972",491.19429
20,"M868.504T5.53",2452.053571,"868.504","5.53",868.5,5.53,5.53,868.50375,867.49647,"[M+H]+",TRUE,"","C45H73NO15",6625.7685,"4488",867.49647
21,"M660.466T18.92",2453.767857,"660.466","18.92",660.47,18.92,18.92,660.46567,659.4584,"[M+H]+",TRUE,"","C30H65N3O12",2362.624,"2728",659.4584
22,"M363.141T5.38",2456.991071,"363.141","5.38",363.14,5.38,5.38,363.14133,362.13405,"[M+H]+",TRUE,"","C14H22N2O9",911.202944,"713",362.13405
23,"M121.065T0.7",2800.392857,"121.065","0.7",121.06,0.7,0.7,121.06474,120.05746,"[M+H]+",FALSE,"","",8317.213652,"4703",120.05746
24,"M445.134T5.16",2801.946429,"445.134","5.16",445.13,5.16,5.16,445.13402,444.12674,"[M+H]+",TRUE,"","C19H24O12",1497.847748,"1548",444.12674
25,"M744.049T18.77",2806.071429,"744.049","18.77",744.05,18.77,18.77,744.04911,1486.08367,"[M+H+H]2+",TRUE,"","",7472.897608,"4601",1486.08367
26,"M621.11T19.44",2806.348214,"621.11","19.44",621.11,19.44,19.44,621.1095,620.10222,"[M+H]+",FALSE,"","C28H20N4O13",1735.424768,"1933",620.10222
27,"M543.803T1.12",3148.276786,"543.803","1.12",543.8,1.12,1.12,543.80346,542.79618,"[M+H]+",TRUE,"","",4286.064112,"3916",542.79618
28,"M184.073T0.75",3149.205357,"184.073","0.75",184.07,0.75,0.75,184.07334,183.06606,"[M+H]+",TRUE,"Phosphocholine","C5H14NO4P",43677.6085,"42",183.06606
29,"M494.148T4.87",3154.035714,"494.148","4.87",494.15,4.87,4.87,494.14786,493.14059,"[M+H]+",TRUE,"","C26H23NO9",6433.017596,"4443",493.14059
30,"M694.27T3.87",3154.464286,"694.27","3.87",694.27,3.87,3.87,694.27046,693.26318,"[M+H]+",TRUE,"","C33H43NO15",490.864384,"389",693.26318
31,"M331.932T0.63",3495.178571,"331.932","0.63",331.93,0.63,0.63,331.93153,330.92425,"[M+H]+",FALSE,"","",1039.488916,"867",330.92425
32,"M497.911T0.49",3497.410714,"497.911","0.49",497.91,0.49,0.49,497.91095,993.80735,"[M+H+H]2+",FALSE,"","",1618.665528,"1763",993.80735
33,"M151.075T0.7",3497.714286,"151.075","0.7",151.07,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"M314.139T6.68",3498.669643,"314.139","6.68",314.14,6.68,6.68,314.13866,313.13139,"[M+H]+",TRUE,"feruloyltyramine","C18H19NO4",1818.534656,"103",313.13139
35,"M144.081T2.48",3845.401786,"144.081","2.48",144.08,2.48,2.48,144.08069,143.07341,"[M+H]+",TRUE,"","C10H9N",2574.2415,"2948",143.07341
36,"M265.93T0.47",3846.473214,"265.93","0.47",265.93,0.47,0.47,265.93017,264.92289,"[M+H]+",FALSE,"","",2632.77,"3009",264.92289
37,"M281.922T1.36",3847.4375,"281.922","1.36",281.92,1.36,1.36,281.92242,280.91515,"[M+H]+",TRUE,"","",1553.9715,"1654",280.91515
38,"M187.155T1.03",3847.5625,"187.155","1.03",187.16,1.03,1.03,187.1552,186.14792,"[M+H]+",TRUE,"","C8H18N4O",2483.783808,"2859",186.14792
39,"M307.091T4.47",3847.973214,"307.091","4.47",307.09,4.47,4.47,307.09123,306.08395,"[M+H]+",TRUE,"","",2213.964864,"2558",306.08395
40,"M309.012T4.29",3849.383929,"309.012","4.29",309.01,4.29,4.29,309.01152,308.00424,"[M+H]+",FALSE,"","C15H4N2O6",1358.18816,"1325",308.00424
41,"M746.529T18.77",4191.080357,"746.529","18.77",746.53,18.77,18.77,746.52897,1491.04338,"[M+H+H]2+",TRUE,"","",11187.1879,"4943",1491.04338
42,"M540.19T5.06",4192.696429,"540.19","5.06",540.19,5.06,5.06,540.18984,539.18257,"[M+H]+",TRUE,"","",1174.164672,"1027",539.18257
