"feature","hatching","pvalue","mz"
"hatching",1,0,NA
"1997",0.373244183550929,0.00013093320350903,525.17705
"14",0.354508029019335,0.000295992908876104,497.18139
"1563",0.293278780625215,0.00306319711611034,337.1657
"439",0.285502733145534,0.00398537185170126,969.40349
"1654",0.27716758975882,0.00524245538609801,387.1455
"1830",0.271436198746341,0.00630042845681182,451.10351
"1980",0.269898432710957,0.00661471493750464,349.12967
"1821",0.264568770909865,0.0078140558284486,309.13438
"209",0.262405888171368,0.00835305011476054,794.86363
"1852",0.249849285130175,0.0121769090503006,333.13511
"686",0.24396791841585,0.0144415568861966,549.19913
"1723",0.231998741377745,0.0202004321191841,307.11888
"1925",0.224392318106994,0.0248057271129436,321.13451
"538",0.222706355335567,0.0259397206150283,726.87647
"501",0.222229461990305,0.0262683799906791,451.10409
"1324",0.213869342096406,0.0326312145430065,178.97778
"1805",0.212687109930847,0.0336281622828928,375.14525
"1284",0.211564056281856,0.0345988402565563,371.14962
"239",0.211321262433931,0.0348117610446134,279.16007
"1759",0.21098894336566,0.035104976993396,544.90867
"2001",0.209871203790855,0.036106470293771,606.87851
"1084",0.205369789498133,0.0403857550495492,445.18699
"229",0.203099768485665,0.0426995120369314,471.06711
"991",0.201582335284807,0.0443069099174373,305.10369
"1907",0.201064583933389,0.044866732538531,307.08249
"1958",0.200435063435247,0.0455553060066208,337.12939
"640",0.198484125014551,0.0477451588932681,377.08559
