"feature","hatching","pvalue","mz"
"hatching",1,0,NA
"3424",0.365501982937208,0.000214951912205939,266.92591
"2175",0.353828847537408,0.000351388267431015,207.06514
"415",0.340880168985709,0.000593163995008465,207.06518
"4040",0.337706248250528,0.000672108469177359,267.12266
"4659",0.332762079832161,0.000814395265242601,352.95196
"1064",0.322006623892276,0.0012233501128267,145.0284
"4424",0.314004928764792,0.00164028194792623,177.05462
"3323",0.313670137253135,0.00166024589237344,600.26513
"2886",0.31300221755931,0.00170073330815315,190.10738
"538",0.312833459779177,0.001711103372628,319.99781
"93",0.304887686425595,0.00226917327096458,308.09062
"1914",0.30474234765009,0.00228075690935095,355.28367
"3033",0.301276870221769,0.00257323390665297,582.23056
"14",0.301013867357161,0.00259675197487209,177.05463
"724",0.299623724251108,0.0027243035457271,179.04899
"582",0.294783307074369,0.00321356965317832,220.93165
"5341",0.294119784736342,0.00328644839061198,249.11209
"304",0.293435580412689,0.00336314719799146,90.97664
"64",0.293000154974856,0.00341278955104778,355.28414
"1580",0.291122564049497,0.00363445444929613,207.06513
"4935",0.289609999370907,0.00382230441794198,246.06082
"4367",0.289567740349424,0.00382767514081855,316.90746
"1225",0.288525900313424,0.00396223521294793,492.14997
"1377",0.286611830605585,0.00422050869103279,265.14449
"670",0.286049232131047,0.00429922834842061,279.08659
"995",0.285986923312305,0.00430802679276644,91.03905
"394",0.284203707721034,0.00456673745157741,615.24898
"1846",0.281457195740159,0.00499234134442318,295.26321
"1161",0.281170758053789,0.00503869988553975,441.13919
"94",0.281158597128782,0.00504067652077763,308.09095
"365",0.278309867507205,0.00552316653997256,261.08701
"3055",0.27782466973197,0.00560931298523376,446.28611
"3898",0.277784340302984,0.00561652686240349,207.13798
"2356",0.276949057206465,0.00576780088787986,319.08085
"3839",0.276577126891205,0.00583631504526555,174.03994
"347",0.276321775799036,0.00588377099299355,242.92525
"27",0.276081167359463,0.0059287999943905,398.34156
"5349",0.272533064856283,0.00662922035900439,722.44713
"3997",0.270680428114524,0.00702327419994367,256.12918
"1385",0.270566031084696,0.00704827128614416,263.23701
"3886",0.27029553441203,0.00710769098530255,464.15852
"999",0.270228938999249,0.00712238765339969,422.08687
"5080",0.270063333504169,0.00715905091664973,246.06084
"66",0.269400317465491,0.00730751096823337,293.24746
"2249",0.268292561083924,0.00756162760447197,98.98378
"793",0.267867434803193,0.00766120191409752,469.11376
"2344",0.267040911265774,0.00785810820484409,181.12235
"1590",0.26533823321014,0.00827785939081382,591.3833
"3307",0.264979580356185,0.00836875239860857,575.41039
"3741",0.264419351589425,0.00851248911266874,155.04678
"18",0.262600147979896,0.00899433114685828,365.10543
"2820",0.260417256920836,0.00960401062538768,166.95907
"336",0.259596730264011,0.00984239139437455,440.86732
"1514",0.259190085933991,0.00996244179925936,319.1175
"3937",0.258395301155048,0.0102007913082941,131.04905
"4243",0.258392002047626,0.0102017910071247,211.10938
"287",0.257091416256648,0.0106026459877299,174.93806
"3933",0.256711754568421,0.0107222320467986,290.88021
"1892",0.256496787332737,0.0107904645545915,560.37653
"4575",0.255505269353094,0.0111101218316167,304.89236
"1693",0.254840442460779,0.0113290654328457,250.94991
"4369",0.254829649371323,0.0113326507399406,163.07533
"5236",0.254011206477687,0.011607430157241,203.05287
"410",0.253649801858228,0.0117306063654832,486.86054
"3346",0.251694861837066,0.0124168786632246,499.32678
"2558",0.250841727395005,0.0127271718843197,307.09123
"402",0.250686422239039,0.0127843787882197,106.95038
"1055",0.249716874501798,0.0131466021643311,263.23703
"4634",0.249582820238906,0.0131973811892075,838.49403
"1789",0.247482710235446,0.0140154632867862,418.87326
"3911",0.246938900472692,0.0142343486617066,412.35687
"1342",0.246415643278661,0.0144477576351737,228.20711
"699",0.245762937880035,0.0147178500005292,258.17004
"796",0.245084469782583,0.0150032353413083,410.02924
"5459",0.244967775342552,0.015052801273434,286.09213
"1489",0.243777797501475,0.0155664030074236,233.06244
"514",0.243337424995238,0.0157602815161196,402.89924
"2327",0.243162040905828,0.0158380762472903,302.19612
"4421",0.242843867992247,0.0159800562029921,508.34847
"341",0.242693480329644,0.0160475469134927,372.87979
"2508",0.242517308379979,0.0161269226077823,285.91725
"2251",0.241639363179224,0.0165275717228213,838.49412
"13",0.241441968767429,0.0166188279768859,267.17191
"2138",0.241414353371878,0.0166316293488054,251.12701
"4514",0.241101149881622,0.0167774152299747,161.09611
"2018",0.23998052273523,0.0173081096430202,186.07614
"4035",0.239766057160708,0.0174113091661158,174.03999
"2786",0.239476700863001,0.0175513869478962,334.91151
"441",0.239101822323191,0.0177343112639728,123.04385
"1148",0.238280016157308,0.0181410785066857,64.01545
"3742",0.237968652675448,0.0182972803642601,602.93887
"453",0.237377620325561,0.0185969734262936,310.21237
"3708",0.236308778874775,0.0191496908313253,866.52464
"4382",0.236010536788556,0.0193064167391672,552.37504
"1557",0.235505859003639,0.0195741377898767,574.40977
"3435",0.234459711396994,0.0201392771689176,210.92333
"1937",0.23417979871982,0.0202928444298206,701.3719
"412",0.232831106275384,0.0210469436231724,207.06519
"173",0.232796487934088,0.0210666120524846,355.28418
"1851",0.232539434173262,0.0212131509358844,221.0656
"563",0.232391578364458,0.0212978344805905,416.26404
"1973",0.232365748560393,0.0213126580446189,382.17078
"1821",0.231598134378695,0.0217572417708751,249.11217
"3630",0.23151496157088,0.02180588707456,438.787
"3889",0.230521816360086,0.0223939829839292,183.11998
"5031",0.230421679139187,0.0224540259950793,301.06826
"3221",0.230261899407349,0.02255011631986,61.0281
"639",0.229230907451175,0.0231786445463,395.1823
"4265",0.228858501905492,0.0234093272546731,161.09615
"566",0.228070842278455,0.0239037025884873,264.08959
"1945",0.227337609526082,0.0243718996660877,158.08118
"464",0.227305186924826,0.024392782074364,207.10147
"4206",0.227105614731055,0.0245216568258138,332.33112
"5490",0.22653487851585,0.0248934219496814,220.11795
"882",0.226237996417717,0.0250886965770772,103.0539
"427",0.226236628037766,0.0250895996441481,589.88434
"2734",0.226154206205974,0.0251440453186512,589.39379
"4409",0.224858921962047,0.0260129869906584,57.03315
"3173",0.224824192614011,0.026036632567093,388.85372
"811",0.223359319054983,0.0270507859956083,280.09056
"1811",0.223258808979229,0.0271215842629817,179.10671
"5072",0.223063308833069,0.0272597434793457,163.0601
"3657",0.222703916076158,0.0275152847030283,235.13258
"2172",0.222507145522144,0.0276560552563255,324.97011
"356",0.222458449198964,0.0276909870411532,391.1571
"3038",0.222202119618621,0.0278754803223432,233.94575
"969",0.221932531399093,0.0280706408400109,488.27532
"5390",0.22183865142903,0.028138874044794,163.06011
"861",0.221553328226683,0.028347114897489,500.04357
"3271",0.221501133772469,0.0283853496507264,224.14648
"4859",0.221499254479713,0.0283867271312378,474.25976
"2329",0.221211169167176,0.0285985587732979,197.9012
"702",0.22118429535612,0.0286183874726215,348.18667
"307",0.220720038479102,0.0289627809176271,638.30715
"5314",0.220077631260911,0.0294451153480108,273.09691
"5383",0.219793021773234,0.0296609709317016,85.02833
"73",0.219544766297176,0.0298503468374034,138.05488
"534",0.219369149881732,0.0299849287415716,260.11283
"1045",0.219047425459115,0.0302328108471725,410.30518
"60",0.21839047920234,0.0307443601613931,124.03917
"1475",0.218188507852136,0.030903093374998,402.93727
"3100",0.217741537306073,0.0312568394577469,179.05287
"774",0.217513484380634,0.0314386410864955,91.0542
"1539",0.217503047493279,0.0314469825938397,481.08062
"5016",0.217448274907326,0.0314907893070597,122.09629
"1210",0.217070089266714,0.0317946675398821,370.24126
"5530",0.216144088717231,0.0325491869674849,182.96249
"1297",0.215808185276023,0.0328265915019722,406.31018
"184",0.215647687310711,0.0329598399271708,92.04961
