"feature","solA","pvalue","mz"
"solA",1,0,NA
"1997",0.890872592780795,1.46912385318081e-262,525.17705
"14",0.806194834713746,1.03147712291488e-195,497.18139
"2047",0.489498809111244,7.0713677427512e-22,265.10827
"202",0.487791559214372,6.52011366143942e-102,296.93983
"1986",0.487617076171826,0.00015705867068939,297.11673
"336",0.479855930163305,1.04084958629542e-46,646.25503
"316",0.467232552707543,9.06802829864988e-89,704.8811
"141",0.428357005604008,2.50075649142855e-98,426.12342
"472",0.427677237740757,9.64830297917399e-08,323.05979
"273",0.423309525091279,4.04929313457736e-50,308.99222
"1150",0.415758989850428,6.4102422530708e-35,612.89637
"504",0.407742611534279,2.58791823913996e-14,355.0855
"1387",0.402267505901851,5.1612498126851e-37,389.14527
"199",0.399418197758119,2.49773637227714e-81,355.08548
"163",0.39934669593451,3.85219623800524e-126,590.22859
"1244",0.398919239498044,2.05035359027651e-44,335.22283
"1235",0.397643437268579,0.00135264629647627,378.1633
"2085",0.396889059168571,9.44294962815482e-08,377.16061
"319",0.390243112924826,8.2727313449085e-07,211.09752
"240",0.388264350301032,7.19610507529495e-58,772.86836
"324",0.386885754198436,9.57420418634371e-60,527.28545
"183",0.383740079278582,1.88156936393637e-57,342.94666
"830",0.381491881603154,2.835083755357e-39,632.18652
"1137",0.373980375993359,9.54016215331574e-06,309.10117
"1482",0.370211883197601,3.94174716053835e-26,357.11899
"734",0.370181022221239,1.20587648266147e-29,204.12409
"2031",0.368175808801628,3.10373267537583e-29,437.23923
"2133",0.367107401006585,0.0243549003562504,391.14064
"1713",0.364547555782641,0.0173835412470459,399.18281
"2072",0.364143191951895,1.18330904179039e-22,351.14509
"1477",0.363031836010521,1.25906097225221e-17,283.10112
"1556",0.362839488260986,1.61884877187017e-24,281.08556
"2028",0.361750226484598,4.58396211060564e-07,377.16062
"184",0.358628343273827,6.9189950884796e-08,253.05401
"1982",0.356189248298377,8.70843321865089e-29,495.2811
"770",0.355028181092186,6.3536558684582e-57,569.20349
"227",0.354927266122818,2.2005225988787e-07,409.11445
"674",0.354113322416991,2.87259025959489e-61,483.2607
"284",0.351051064316892,2.5461206534813e-09,205.08998
"2074",0.349179892372502,1.57064222798539e-08,429.15676
"538",0.349064755345044,1.81099884276173e-43,726.87647
"2129",0.348483322977681,1.70779241949766e-12,265.10831
"1816",0.348356313787465,3.83134020628652e-34,451.25475
"236",0.346508815428397,0.0104459724404777,705.88358
"338",0.34613585089498,4.56364796989955e-31,313.18089
"775",0.343401752957826,0.0111687898854887,429.12108
"1574",0.34277529421193,1.62693477148219e-22,539.30752
"1584",0.337047364116248,1.32907439431008e-08,638.2358
"2067",0.334237065232407,2.1545735252476e-32,379.19751
"265",0.332519228079097,9.69574822972621e-13,207.13902
"2077",0.331984024460639,2.10831334298947e-06,529.17158
"811",0.328649916273636,7.19526690877362e-18,299.13205
"1177",0.326629281742154,6.01366628202047e-34,481.26543
"148",0.32530087389638,2.28223662029959e-08,337.13085
"1436",0.324932780365983,1.02082300411665e-22,277.07231
"1845",0.323081577499735,0.000319340227242146,597.34944
"245",0.322910270938296,0.0117747790416264,343.13957
"1711",0.322681244420358,3.53232219575344e-19,509.29682
"63",0.322043788015888,5.05674591184062e-112,535.04912
"1161",0.31961597247582,9.61505155380818e-37,658.88924
"145",0.319138576090317,1.4852020877181e-43,415.17753
"1186",0.317772097827431,9.17757989552417e-64,283.10109
"1017",0.316290026680507,2.30559138610535e-35,352.14807
"13",0.31458300503519,4.53204286461456e-21,247.13399
"1694",0.314348556545193,9.72939794311223e-11,499.25553
"467",0.314311358770279,6.53523356600578e-19,741.30204
"257",0.3139691963853,0.00109404158206108,641.37562
"7",0.311304094881794,4.86330601669492e-53,281.13944
"4",0.310613083032782,1.08888262533639e-12,213.11329
"604",0.310553422172666,1.89928671952871e-27,331.0839
"3",0.310478796419715,6.40296099478306e-06,249.1497
"1988",0.310061721952142,0.0162948445039351,419.13528
"2035",0.309558656785639,5.74795860480369e-08,553.32325
"591",0.309262805849015,2.90304629002596e-24,699.29134
"1220",0.308038861135111,0.00239799482916285,251.12895
"106",0.307056791745618,9.69519990957404e-09,614.89874
"1944",0.304760035903194,1.60952777771267e-58,343.08472
"190",0.303514022761509,0.021904668911289,355.04842
"1948",0.300397142868822,1.34223884407014e-12,391.12208
"913",0.299833573681666,2.38388927575804e-47,335.11417
"402",0.299722393230729,4.0766149840995e-12,638.89341
"480",0.299318504306912,5.42042297279912e-28,385.22324
"361",0.298812743932681,2.13715366973445e-45,235.13398
"1309",0.298028769568089,3.58638713242706e-23,509.29689
"1939",0.295810736143008,7.87694002866862e-24,590.90178
"2100",0.294907991686418,0.000171652140105259,261.14968
"209",0.294445057029962,2.74659889708934e-39,794.86363
"81",0.29250164392702,6.02461739357139e-23,229.05397
"1932",0.292077751906491,2.34615121612958e-25,451.25492
"1916",0.291711829578619,7.3644925404725e-10,317.10483
"1419",0.290782683422241,8.66628815968891e-12,567.33871
"568",0.288472509245261,2.81283260875622e-15,825.28245
"369",0.287675589035112,9.23212121591214e-08,301.11022
"59",0.287625321023149,2.96611761906757e-57,381.23159
"694",0.287537129309096,9.7351685055171e-34,681.28098
"1319",0.286711584526716,3.48468815487173e-29,283.08248
"1840",0.286085198749153,7.53729948780138e-50,359.11449
"1962",0.285803986823678,6.35769635515226e-21,543.15076
