"feature","solA","pvalue","mz"
"solA",1,0,NA
"359",0.700882038851093,6.30133743579364e-120,571.21815
"1045",0.575923885397696,2.31475029608612e-96,586.85401
"1038",0.548839066419646,1.87770973863875e-81,116.92844
"681",0.541462372212314,9.60704923037606e-85,637.77054
"486",0.537298004768728,1.18177552574504e-98,127.07638
"1176",0.528929029495917,9.54025207783726e-81,78.95926
"865",0.527377293683697,4.39623099504323e-59,1303.26722
"1034",0.521154242854152,9.02932685842207e-64,1302.7656
"590",0.518088657616878,1.56662008441998e-80,648.77194
"1107",0.517342076284018,4.23948054507059e-85,158.92538
"1161",0.503741065211926,5.30898132889589e-64,520.91017
"930",0.503566109772352,1.42288203368932e-58,1099.30508
"1172",0.498859082205671,3.71951117124212e-80,194.94667
"497",0.49638774237699,7.95556416650257e-65,180.97305
"1028",0.495433296832875,2.71198276977414e-55,178.88438
"823",0.494301984575816,1.39315018680793e-60,1246.10973
"417",0.493798684245211,3.38671329948267e-69,116.03525
"1013",0.493470260598747,5.07363791380122e-77,116.92845
"1030",0.491794404734538,7.18174792028921e-59,963.3304
"165",0.491261512319872,3.91400766235749e-57,361.19952
"1162",0.490500497811405,1.56266513216428e-58,452.92272
"926",0.490479050467755,5.52760381128128e-68,235.92614
"1154",0.486584784367543,5.5985163029905e-63,724.87241
"1039",0.48644061951082,4.15743846573923e-64,929.33667
"881",0.485337013179981,3.37424291750776e-61,1235.27998
"613",0.485260064770157,3.25164414886114e-52,282.96266
"1169",0.482622056589048,4.14834711442043e-59,316.9479
"1064",0.480237033077121,5.90063296579763e-60,1268.77183
"1165",0.48016177416977,2.8347487538712e-59,384.93534
"932",0.48011816999057,1.09681405272148e-59,793.36198
"1168",0.479811000305165,4.14234420427021e-60,248.96047
"31",0.477573561598101,6.68617097923718e-60,338.98879
"1163",0.475047467550775,7.2831983523434e-59,588.8976
"1157",0.47467151487991,2.50466520071504e-67,928.83467
"805",0.474299614698867,4.11699025935204e-58,1155.46
"741",0.472463479488492,5.08099331753486e-56,1087.47232
"1109",0.472064408447826,8.00555946760795e-73,72.99335
"912",0.470188233411895,3.12581726016014e-81,510.85046
"1090",0.468919640949543,1.20882920783265e-57,116.92842
"214",0.468733011887262,1.74990602626587e-37,385.15033
"14",0.46788219485802,3.07432564146092e-47,138.01979
"1153",0.466736241858321,1.98345812654254e-56,656.88504
"953",0.466688903243626,6.98196489355128e-78,616.75371
"893",0.4636541692184,3.14809946397354e-64,1201.28629
"906",0.46356735262132,1.40395798316392e-56,1167.29259
"886",0.463533799432934,2.26417200310364e-52,216.90941
"324",0.462785897833254,1.16534112641996e-18,519.33256
"1132",0.462501772198201,3.23222151810777e-55,962.82865
"973",0.458533561322093,5.83380202345846e-51,1065.31146
"728",0.458414080426318,1.99709834819429e-48,796.83695
"277",0.458364762430457,2.90718716888733e-44,311.20153
"547",0.458161457608015,1.34369325074595e-82,217.07182
"842",0.456993409657646,5.72375028493621e-60,1178.12228
"363",0.456153077125487,3.73354269890698e-14,503.3377
"1170",0.45577651620312,1.29305103020264e-71,292.92348
"992",0.455073521971413,9.13980385223058e-39,524.8433
"993",0.454659519051962,2.43904070446628e-71,448.83097
"738",0.454081964520179,6.26638381154966e-56,1201.11872
"290",0.45300448213231,9.33348574875292e-29,503.17691
"989",0.451707575443927,2.11700292746845e-55,102.93283
"748",0.45170407806367,3.5556663762348e-56,864.82429
"1166",0.451463797082545,2.08678593299562e-49,194.94661
"737",0.450566376277993,4.65395630797566e-53,1269.10625
"100",0.449576635695046,4.7414298683747e-53,261.08797
"807",0.4495380241036,7.51561482750385e-57,99.92574
"675",0.447582482079586,5.0242159613115e-39,88.0124
"920",0.447286845628137,1.26037625831275e-62,608.82776
"641",0.444719500102141,4.65371296001565e-76,178.94023
"679",0.444578223038696,7.16048027800919e-36,624.8062
"731",0.442685266134809,1.05787010075635e-56,1223.78143
"1108",0.440699194605105,1.42292756629092e-57,1200.7844
"1031",0.439308326231724,3.58719276832151e-47,554.86255
"1127",0.438393812015125,2.81139320309904e-45,488.87709
"77",0.437351131609416,1.04605010188076e-55,261.06174
"1130",0.437294567207929,1.13102942570755e-56,1064.80957
"783",0.436811809242654,6.73099874118605e-30,860.68864
"126",0.435168581539043,2.04798915414594e-65,439.08589
"863",0.433337891285196,1.10169279164046e-35,102.95072
"990",0.431891620666144,1.25232250184304e-67,532.7925
"1136",0.429756318236963,1.95331045680461e-50,894.8413
"739",0.428630864745989,1.64226654578834e-54,190.92856
"885",0.427742886369765,2.99984517935018e-42,140.96494
"32",0.427206725453121,1.73255705211217e-58,338.98887
"1141",0.427052572567645,2.779569616768e-32,326.90142
"1021",0.425969489213381,1.409532880385e-55,116.92845
"322",0.424584185612254,5.90302324480207e-47,480.30938
"1143",0.423617974501992,7.44067505131532e-50,996.82214
"59",0.422401808239951,1.29893364090015e-43,289.03312
"1032",0.421118838160367,1.22203064328291e-63,1166.79086
"878",0.42082252763681,1.55977991169485e-41,706.80333
"54",0.419256679401573,2.4868348696268e-66,96.96971
"501",0.416162396784946,5.14047965527108e-52,161.04549
"1171",0.416156149744383,1.49897110016347e-61,537.06279
"160",0.415889427959951,2.72916781656184e-41,483.06
"1058",0.415853681440127,3.13538821161651e-59,116.92846
"861",0.415264879191626,3.49697840790851e-57,1291.43423
"514",0.414465532978253,3.71492255724205e-35,171.06637
