"feature","solA","pvalue","mz"
"solA",1,0,NA
"1303",0.675865664629938,3.03605227863289e-99,590.25995
"329",0.55426715133153,6.23095441312642e-60,354.15461
"3284",0.541298110747594,9.98740054188332e-75,339.15499
"40",0.527279763538088,5.6764864251012e-42,98.98413
"211",0.522002614844816,2.69709330730764e-63,353.10194
"3505",0.513800897717131,7.29028253435315e-42,641.78041
"584",0.510110011225775,1.2144423324912e-36,483.3104
"1297",0.496491226685971,4.75489786216359e-53,406.31018
"2935",0.495210415931046,2.0538210231262e-32,595.36051
"847",0.49443940326971,1.96864894037177e-47,209.11722
"713",0.483735365945212,3.73227148137598e-47,363.14133
"1",0.479295882286035,4.9982897967299e-24,114.09113
"4796",0.46907203382172,7.31163271667314e-61,339.15498
"346",0.46484248596766,3.00626986533013e-50,191.07034
"3916",0.462148054045216,2.0949510892449e-45,543.80346
"1676",0.458718762470098,7.37958395847859e-46,323.14948
"2558",0.442503372935491,1.28579816046411e-43,307.09123
"73",0.440644730584104,4.91964477223069e-50,138.05488
"2069",0.437699832117294,8.04601644841114e-19,527.26402
"1846",0.437026122498201,1.5892723488934e-36,295.26321
"1225",0.435907283526742,4.84858348859726e-42,492.14997
"415",0.435890726323475,1.20211924024296e-39,207.06518
"626",0.434549821681518,8.8753663906515e-40,387.66798
"2008",0.42660555900313,9.14742132971075e-23,453.33577
"5247",0.424913831975545,1.27765994530634e-41,222.02915
"697",0.424745848938985,7.11429963836908e-34,294.1183
"598",0.418973699977265,3.61005738462115e-44,216.24339
"844",0.416579399075296,7.19007039217362e-20,394.14373
"365",0.40955358564351,1.94765536511484e-37,261.08701
"2568",0.402966005567691,5.71721296697334e-30,127.0752
"4153",0.396552951079659,2.06548732187765e-22,309.05806
"621",0.396115726377241,8.2094245986412e-10,195.58273
"982",0.393934828646054,1.32943722998965e-10,827.24122
"2540",0.393800378971486,1.25444620611632e-44,265.15462
"169",0.391136939496267,2.46749415716581e-16,163.13284
"2535",0.389374864535273,1.72892141719288e-32,259.08122
"2018",0.387539926309077,3.50556280111276e-11,186.07614
"4514",0.384227608576723,3.4372031489102e-31,161.09611
"1795",0.383856673810419,4.30372249347455e-34,358.18591
"330",0.382429988671283,4.1760772002287e-47,476.15528
"760",0.38232384654214,1.73702088864772e-31,460.69696
"191",0.38132490974691,1.58842187628276e-38,328.17652
"66",0.378931057465441,4.34218680838863e-26,293.24746
"1286",0.378139716294607,6.00940015796081e-15,743.18799
"2815",0.373997473307197,2.98364242063622e-36,413.30486
"818",0.370249468595607,1.09778494827846e-17,235.1691
"1811",0.369799429847378,1.07539434435355e-31,179.10671
"255",0.367014720002693,3.08866463690675e-40,314.17961
"2063",0.363979561215308,5.84015001872039e-30,191.07027
"2034",0.362822223755894,1.6854643036663e-10,961.58284
"1377",0.362611661183773,1.70923852243621e-29,265.14449
"1574",0.361875459804957,1.23853096113919e-25,302.02693
"292",0.361534978715906,4.13636290452007e-23,529.27984
"2375",0.36095220700641,2.64287733378919e-05,171.06523
"4886",0.360866567557157,1.62145371572266e-14,124.92254
"1183",0.358781697094843,1.10869332749099e-36,191.07033
"1055",0.358572407422053,2.7000133124355e-28,263.23703
"5428",0.358372345423076,2.79349658248444e-20,62.96265
"3323",0.357676152313981,1.46841336298669e-28,600.26513
"2793",0.356901582971853,1.11534571562991e-08,225.10973
"685",0.355479263873459,1.32143617724455e-36,575.35799
"1914",0.352273391777504,8.50793353530364e-40,355.28367
"1557",0.349786578854569,3.61706712541474e-35,574.40977
"2039",0.346359197283376,8.70429619389891e-29,826.9099
"4351",0.346233234315896,6.26470090318574e-29,165.09097
"2726",0.346063719116256,9.93069286563245e-14,445.13396
"565",0.342243422173811,3.97322472188499e-34,161.09607
"3613",0.341206136313497,7.7205190273001e-11,347.84955
"1040",0.338230795373571,6.85543422679404e-27,452.75531
"2347",0.338173594945396,5.25847367318448e-30,301.06832
"1548",0.337490736919263,1.04601532222261e-15,445.13402
"805",0.336621464592059,2.34522290919905e-42,179.07021
"3624",0.335724406019001,5.6487598911905e-14,196.59052
"2710",0.333442086548988,1.44977750568812e-11,281.90455
"3537",0.33268170825492,1.02012857555082e-20,134.9868
"466",0.332469286025906,2.10996716141144e-36,289.0819
"2367",0.331078172985823,7.51512762353817e-09,155.10668
"2462",0.330938732598948,2.02578725682973e-22,158.0031
"1288",0.330394525830781,3.03882738707584e-19,548.82793
"109",0.330223264949983,1.39319932428818e-11,107.06995
"1779",0.329254891373566,0.000208819715443251,589.19156
"1197",0.328347498320667,1.02016065582706e-22,315.15326
"1437",0.326485768160804,1.83101105834919e-23,570.37897
"3911",0.326327255424053,1.12904175011984e-27,412.35687
"2042",0.326013770257284,8.9613725069563e-10,110.00845
"2261",0.323921817281183,1.55709853895221e-29,512.09764
"1601",0.3234727539469,3.49835492129616e-12,351.14643
"474",0.322988618456752,3.75899063950134e-38,297.13335
"965",0.322813611983076,6.18801872544606e-24,90.05487
"616",0.322812238520976,9.49577143931549e-35,883.46788
"4740",0.319825589919271,4.3895124152014e-15,518.80835
"4077",0.319391008300081,1.04902402268422e-17,884.49909
"5490",0.319366554891817,7.27184543221748e-27,220.11795
"2298",0.319313561750878,3.39992687962909e-23,862.4935
"3557",0.317322783742921,8.83297274075233e-33,476.21255
"849",0.316666793962983,6.99471371943029e-33,327.14384
"2013",0.312453524492103,2.68382344389747e-11,498.90816
"2948",0.31244872993452,2.51872102334366e-05,144.08069
"5527",0.312291432537919,4.81470229679444e-10,290.84717
"5401",0.312276544048288,4.36591476813688e-20,196.96105
"4491",0.311193813658252,1.14997164759221e-09,184.07338
"503",0.310856919069856,1.46241712422893e-16,335.94115
"4040",0.309318562808495,2.37416080901202e-24,267.12266
"2435",0.308924230085902,8.2184330164825e-12,343.92198
"5417",0.307919941132532,5.86439853370225e-09,702.86345
"5118",0.307010356067223,1.65877567501434e-20,476.16114
"1723",0.306583092834137,1.42188712728741e-12,263.23689
"3037",0.303366355518169,5.94769828220943e-23,91.03888
"5491",0.303338415232622,1.96929915926705e-15,320.86634
"913",0.302742267731244,4.05222055203269e-27,131.03386
"1649",0.302132267362345,4.62983333769704e-05,213.92049
"3091",0.300544529880747,9.44139831869027e-08,267.12265
"3303",0.299827124117665,9.40120318621568e-15,866.48903
"41",0.298569135933241,1.24739698172737e-24,98.98391
"338",0.297150270608367,4.25894259439626e-10,174.03973
"2249",0.296990733185908,3.12230423854046e-10,98.98378
"2867",0.296442105565471,1.93498293562679e-11,602.7699
"2764",0.296301879664981,8.82781184726007e-29,124.99971
"5451",0.295262768059617,2.06067743116521e-10,71.0488
"3486",0.295252264770153,1.39277501067438e-15,293.98218
"2650",0.293888088542248,0.0133737536817123,199.01317
"1851",0.293257547874701,3.14273767732135e-19,221.0656
"4821",0.293034422706748,8.23389938149014e-16,309.24221
"1826",0.292941218148936,2.89480632595668e-11,427.15589
"1198",0.292392898456555,3.13364122907454e-16,277.03279
"153",0.292382991326537,6.55810354154097e-16,353.08678
"538",0.292269985783896,1.76135003923809e-18,319.99781
"1724",0.291779512487202,5.1520592421745e-12,552.23318
"2874",0.291140085284401,1.2800762025851e-30,184.09689
"3932",0.28825482327637,3.24122682398465e-25,408.32592
"1911",0.287633393835866,1.85545921570688e-09,175.13292
"1292",0.287501968710006,5.67251636425011e-07,390.09727
"785",0.287487680525443,1.456260661654e-10,340.28468
"5493",0.287097821245715,3.79732113131037e-09,206.88587
"663",0.286960702234511,5.15231345810338e-30,459.18609
"491",0.286912546006386,2.36149760465147e-21,185.11653
"5489",0.2866326643403,1.66407438818927e-12,122.92431
"3128",0.286568848113804,0.00029948300260826,213.07586
"886",0.285958163171907,1.54849182081592e-27,245.06521
"2846",0.285664950098075,4.71176526511077e-05,156.96596
"2580",0.285242051909833,1.20299646314642e-24,878.48873
"413",0.284615003984851,1.60382036123563e-41,65.03818
"2138",0.283490309377396,6.35617299967479e-14,251.12701
"4488",0.283460228632175,3.40565702417896e-18,868.50375
"3626",0.282333427430627,4.48844216221291e-20,440.75054
"13",0.282242979271161,1.15508411336712e-06,267.17191
"829",0.280962390370417,2.69533282778516e-29,428.21264
"4243",0.278374709545771,1.23457889945713e-06,211.10938
"655",0.278001997840907,1.06348526302714e-05,736.86459
"3438",0.277635707658666,8.30114163179935e-30,462.13938
"2505",0.27753496038768,0.000576446478720334,312.3261
"69",0.277197267180155,3.33611992572523e-12,135.02873
"3732",0.277172260919375,3.3258994393307e-11,201.07581
"403",0.277038382722955,2.75172670218373e-29,155.15428
"2101",0.276519080928827,6.24482217379626e-16,738.51951
"3182",0.276475405794264,2.2948290337905e-07,656.71179
"807",0.275957862876318,5.73959727573161e-20,203.22316
"184",0.275579391363574,4.20010732595541e-29,92.04961
"4066",0.27363101479117,0.0112303775597818,780.89673
"5367",0.273419630692634,3.75222233688338e-15,279.04755
"813",0.272843447089584,3.74307657232284e-21,218.94227
"1161",0.272097407014609,8.25627991873614e-12,441.13919
"4424",0.272092211276673,4.22530028648913e-22,177.05462
"5329",0.271611876552329,1.21328860211559e-07,441.10042
"114",0.271120729355344,1.82542829752271e-11,261.03699
"3741",0.270752216073293,1.37100316073878e-06,155.04678
"4946",0.270583324865705,2.53719290618808e-09,488.78924
"2090",0.268946827975315,1.56765755894075e-18,298.9928
"3211",0.268311882886766,0.00540227026894071,954.61226
"2971",0.266991940612425,1.13699546727596e-13,569.86683
"129",0.266512189112549,2.87717085727278e-07,139.11169
"1774",0.266392152103942,6.12642766715927e-12,231.08639
"758",0.266267947619716,6.50208170681237e-07,467.11598
"4498",0.26584414646655,3.55378951471667e-11,177.05462
"276",0.265055226670556,2.08985282834988e-26,248.12817
"2000",0.264139836703165,0.000151916680945448,124.95574
"3373",0.264055016072769,1.98869137727717e-20,440.37316
"5441",0.263913786198155,2.12039685948162e-15,296.06581
"1743",0.263667317464157,0.000425599425991415,67.05401
"1684",0.263254053288927,0.0195391878366191,217.10471
"2957",0.262747383356563,9.86575288001572e-07,276.93393
"2809",0.261479750028109,2.35852154326207e-08,353.08661
"2258",0.26143222375559,0.000774924815454455,242.10232
"5260",0.260353404907074,4.33241042366672e-07,458.76987
"4285",0.260310910971594,2.13985128442411e-12,487.23073
"597",0.259545218484484,1.89968080942678e-13,221.11705
"4358",0.25890243856546,0.000107029797662833,445.8265
"4556",0.257649965706077,2.97784575348308e-08,78.99862
"1534",0.254941779517679,0.000107369262775828,502.32876
"5051",0.254896923338523,0.000341808999451723,61.06455
"5016",0.254890509041051,5.95584264990182e-22,122.09629
"4977",0.25386538258798,1.08379842341148e-09,404.82767
"680",0.253654898869741,1.76672654136125e-11,269.1019
"1031",0.253628939499805,3.54534042319739e-13,448.81441
"105",0.253178542657664,5.26096263473024e-13,414.33631
"1064",0.250507159847229,7.08298343276171e-21,145.0284
"1003",0.250305040204605,0.00180300050879589,81.06981
"3254",0.250072686772381,9.76620747154279e-12,219.96644
"197",0.249680286546425,8.04745113167611e-07,498.73889
"5208",0.249666704800847,2.82828499185411e-06,542.73125
"1500",0.249574515383249,3.32622086643354e-11,513.68675
"1675",0.24941437159258,9.33720562946895e-11,485.32603
"2824",0.247869870365024,3.44061004563405e-09,165.091
"1451",0.247867035583284,2.51114247447726e-12,686.73063
"428",0.247838901745117,0.000285730638666262,297.16745
"843",0.246963614088338,1.6425056980793e-14,185.11652
"2508",0.246824815118993,0.00259265072378385,285.91725
