compound,RT..min.,m.z.meas.,M.meas.,Ions,MS.MS,Name,Molecular.Formula,Annotations,AQ,Annotation.Source,Boxplot,Flags,Include,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
1,0.02,58.9592,59.96647,[M-H]-,FALSE,,,,NA,NA,466,[],TRUE,410,466,474,600,658,400,418,618,574,852,386,450
2,1.29,58.96004,59.96732,[M-H]-,FALSE,,,,NA,NA,266,[],TRUE,180,266,774,280,326,368,144,332,304,146,228,100
4,9.46,59.01403,60.02131,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,NA,556,[],TRUE,444,508,494,400,702,556,664,742,466,568,618,558
5,12.3,59.01403,60.02131,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,NA,484,[],TRUE,538,582,280,484,396,394,296,716,580,496,464,496
6,6.28,59.01408,60.02136,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,NA,490,[],TRUE,458,872,416,384,496,494,422,634,604,540,410,490
7,6.82,59.01411,60.02139,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,546,[],TRUE,450,594,698,620,360,546,372,586,452,882,544,618
8,7.44,59.01411,60.02138,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,488,[],TRUE,416,364,566,570,458,488,842,758,518,450,522,436
9,7.95,59.01414,60.02141,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,476,[],TRUE,534,476,468,434,684,474,480,514,536,0,426,822
10,8.3,59.01414,60.02142,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,878,[],TRUE,788,1102,864,1036,894,980,966,706,856,948,878,626
11,19.56,59.01414,60.02142,[M-H]-,FALSE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,440,[],TRUE,388,396,490,334,446,714,386,474,428,542,440,508
12,7,59.01415,60.02142,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,568,[],TRUE,440,486,1190,616,562,818,1186,568,390,620,864,446
13,11.29,59.01417,60.02144,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,446,[],TRUE,516,524,404,510,396,354,468,410,438,444,700,586
14,5.49,59.01417,60.02144,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,412,[],TRUE,738,392,490,514,842,364,450,410,748,412,390,0
15,19.24,59.01417,60.02144,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,428,[],TRUE,402,410,494,442,0,428,514,398,404,740,450,424
16,5.98,59.01418,60.02146,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,NA,588,[],TRUE,388,788,634,570,562,626,754,660,588,634,414,400
17,8.12,59.01421,60.02149,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0004 mSigma: Infinity, ",20000,NA,534,[],TRUE,400,556,584,616,468,422,452,642,430,808,534,536
18,7.7,59.01425,60.02153,[M-H]-,TRUE,,C2H4O2,"SmartFormula - mzdev: 0.0004 mSigma: Infinity, ",20000,NA,530,[],TRUE,530,770,790,630,466,588,1320,574,390,444,468,426
19,18.49,59.01462,60.02189,[M-H]-,FALSE,,C2H4O2,"SmartFormula - mzdev: 0.0008 mSigma: Infinity, ",20000,NA,416,[],TRUE,526,556,460,398,444,358,448,380,392,340,0,806
21,19.51,61.98849,62.99577,[M-H]-,TRUE,,,,NA,NA,5886,[],TRUE,6048,5354,5868,5886,6056,7128,5836,6176,5752,6046,6030,5844
23,0.44,61.98857,62.99585,[M-H]-,TRUE,,,,NA,NA,624,[],TRUE,734,552,590,774,668,806,484,620,636,600,652,624
24,1.23,61.98857,62.99585,[M-H]-,TRUE,,,,NA,NA,668,[],TRUE,528,526,1396,668,1040,876,616,536,568,666,690,700
25,12.73,61.98858,62.99586,[M-H]-,TRUE,,,,NA,NA,2414,[],TRUE,2032,2322,2494,2468,2338,2210,2672,2414,2422,1962,2714,3894
26,19.33,61.98858,62.99586,[M-H]-,TRUE,,,,NA,NA,4978,[],TRUE,4978,4358,5432,4990,5136,4834,5078,4872,5620,4534,5076,4888
27,6.32,61.9886,62.99588,[M-H]-,TRUE,,,,NA,NA,1278,[],TRUE,720,4330,1222,1278,976,4160,1462,1268,1432,2984,1342,1050
28,18.49,61.9886,62.99587,[M-H]-,TRUE,,,,NA,NA,2568,[],TRUE,2366,2516,2204,2890,2668,2280,2594,2950,2568,2846,2500,7312
29,0.04,61.9886,62.99588,[M-H]-,FALSE,,,,NA,NA,714,[],TRUE,638,824,638,772,810,714,724,1052,796,540,480,420
30,5.38,61.98861,62.99589,[M-H]-,TRUE,,,,NA,NA,1052,[],TRUE,3402,1314,868,1136,3572,998,946,1122,3476,1038,1008,1052
31,7.03,61.98861,62.99589,[M-H]-,TRUE,,,,NA,NA,1458,[],TRUE,1218,1384,3578,1176,1618,1902,3670,1270,1494,1332,3490,1458
32,7.65,61.98861,62.99589,[M-H]-,TRUE,,,,NA,NA,1700,[],TRUE,1248,1464,1918,4168,1620,1606,2936,2756,1700,1234,2024,3118
33,7.92,61.98861,62.99588,[M-H]-,TRUE,,,,NA,NA,1458,[],TRUE,1200,1040,1636,3376,1294,1458,1092,3318,1266,1532,1582,3438
34,1.56,61.98862,62.9959,[M-H]-,TRUE,,,,NA,NA,3424,[],TRUE,3310,3880,3490,3424,3048,3296,4306,3454,3834,3292,3772,3156
35,10.93,61.98864,62.99591,[M-H]-,FALSE,,,,NA,NA,2118,[],TRUE,2054,1608,2446,2026,5738,1940,2118,2454,2094,2228,2530,2630
36,11.75,61.98864,62.99592,[M-H]-,TRUE,,,,NA,NA,2344,[],TRUE,2002,2648,2306,1882,2450,5214,2344,2562,2374,1998,2224,2966
37,6.86,61.98864,62.99592,[M-H]-,TRUE,,,,NA,NA,1534,[],TRUE,1322,1748,4138,1534,1524,2034,3922,1224,1152,1790,3424,1278
38,13.48,61.98865,62.99593,[M-H]-,TRUE,,,,NA,NA,2192,[],TRUE,1554,2100,2306,5266,5108,1902,2372,2716,2192,2138,2430,2118
39,0.85,61.98866,62.99593,[M-H]-,TRUE,,,,NA,NA,868,[],TRUE,1054,836,918,868,820,688,1094,706,932,878,848,876
40,10.56,71.01386,72.02114,[M-H]-,TRUE,,C3H4O2,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,NA,714,[],TRUE,920,698,714,702,546,864,712,700,764,880,844,996
41,12.83,75.00872,76.016,[M-H]-,TRUE,,,,NA,NA,370,[],TRUE,264,424,406,350,344,476,424,318,370,422,764,370
42,6.06,75.00894,76.01622,[M-H]-,TRUE,,,,NA,NA,378,[],TRUE,378,542,222,442,752,264,350,246,418,382,490,334
43,10.04,75.00895,76.01623,[M-H]-,FALSE,,,,NA,NA,390,[],TRUE,374,720,440,352,386,480,322,400,398,290,436,272
44,10.18,79.95738,80.96466,[M-H]-,TRUE,,,,NA,NA,196,[],TRUE,134,122,770,284,348,180,376,0,196,88,358,202
45,13.38,79.95754,80.96482,[M-H]-,TRUE,,,,NA,NA,228,[],TRUE,196,190,742,188,356,246,232,178,304,202,228,104
46,12.35,80.97465,81.98193,[M-H]-,TRUE,,,,NA,NA,1000,[],TRUE,1214,642,1254,658,1292,1000,1026,788,802,882,1018,1070
47,19.36,83.93071,84.93798,[M-H]-,TRUE,,,,NA,NA,1360,[],TRUE,1552,1196,1444,1300,1662,1360,1264,1350,1356,1402,1416,1230
48,19.63,83.93071,84.93798,[M-H]-,TRUE,,,,NA,NA,1844,[],TRUE,1396,1844,1766,1370,1772,2002,1942,1982,1410,2494,2122,1540
49,19.09,83.93093,84.9382,[M-H]-,TRUE,,,,NA,NA,1152,[],TRUE,1362,1152,1002,1214,1330,1132,1342,1118,1764,1338,1132,700
50,19.98,86.97584,87.98312,[M-H]-,TRUE,,,,NA,NA,640,[],TRUE,668,628,676,560,518,840,686,548,570,530,816,640
51,0.85,86.97645,87.98372,[M-H]-,FALSE,,,,NA,NA,326,[],TRUE,250,334,308,296,444,382,708,300,368,228,326,434
53,11.18,87.00865,88.01593,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,414,[],TRUE,362,378,700,570,428,520,342,360,570,372,414,604
54,6.28,87.00868,88.01596,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,452,[],TRUE,492,990,394,496,452,816,444,436,400,556,478,380
55,6.61,87.00872,88.016,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,NA,448,[],TRUE,374,706,858,448,398,520,474,416,458,486,400,352
56,5.31,87.00874,88.01602,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,NA,442,[],TRUE,728,546,476,404,838,348,504,378,584,442,424,422
57,7.66,87.00874,88.01601,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,NA,558,[],TRUE,0,570,498,662,558,428,546,918,288,564,446,838
58,10.93,87.00878,88.01605,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,NA,486,[],TRUE,480,534,554,480,1198,514,568,448,422,466,486,372
59,7.21,87.00879,88.01607,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,NA,432,[],TRUE,434,380,632,364,382,440,538,344,612,406,888,432
60,12.85,87.0088,88.01607,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,NA,266,[],TRUE,320,424,0,262,708,0,434,342,416,0,266,220
61,5.64,87.00884,88.01612,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,NA,438,[],TRUE,708,438,448,434,586,698,424,376,726,388,392,516
62,18.61,87.00887,88.01614,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,NA,454,[],TRUE,528,550,688,388,0,466,486,398,446,454,778,408
63,12.15,87.00895,88.01622,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,NA,414,[],TRUE,460,528,454,344,342,384,0,414,0,766,0,628
64,1.56,88.93307,89.94034,[M-H]-,TRUE,,,,NA,NA,866,[],TRUE,866,972,1128,678,880,604,896,910,766,816,756,870
67,5.16,89.02429,90.03157,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,428,[],TRUE,740,530,382,386,394,494,404,504,684,428,608,428
68,6.41,89.02436,90.03163,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,528,[],TRUE,0,554,496,550,442,556,530,452,580,528,1402,470
69,13.44,89.02436,90.03163,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,586,[],TRUE,634,464,696,1364,454,818,484,688,834,556,526,518
